course_url,mata_kuliah,kelas,meeting_number,activity_description,date
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,5,SPL untuk menyelesaikan masalah nyata (SKI- 2) Date 24 September 2025,24 September 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,6,"Konsep vektor dalam ruang-2, ruang-3, ruang-n dan operasinya (KNO-1) Date 8 Oktober 2025",8 Oktober 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,7,Ruang vektor real dan sub-ruangnya (KNO-1) Date 15 Oktober 2025,15 Oktober 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,8,Materi yang telah disampaikan sejak pertemuan ke-1 sampai dengan ke-7. Date 22 Oktober 2025,22 Oktober 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,9,Konsep basis dan dimensi (KNO-1) Date 29 Oktober 2025,29 Oktober 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,10,Konsep basis dan dimensi (KNO-1) Date 5 November 2025,5 November 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,11,Konsep Ruang Hasil Kali Dalam dan proses Gram-Schmidt (KNO-1) Date 12 November 2025,12 November 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,12,Konsep Ruang Hasil Kali Dalam dan proses Gram-Schmidt (KNO-1) Date 19 November 2025,19 November 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,13,Transformasi Linier   (KNO-1) Date 26 November 2025,26 November 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,14,Nilai Eigen dan Vektor Eigen (KNO-1) Date 3 Desember 2025,3 Desember 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,15,"Program komputer untuk menyelesaikan permasalahan yang berkaitan dengan matriks (SOC-2, SKI-1-2 dan COM-2) Date 10 Desember 2025",10 Desember 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,16,Materi yang telah disampaikan sejak pertemuan ke-9 sampai dengan ke-15. Date 17 Desember 2025,17 Desember 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,1,"Fungsi, daerah asal, daerah hasil, menggambar grafik fungsi. Date 29 Agustus 2025",29 Agustus 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,2,Limit dan kekontinuan fungsi Date 5 September 2025,5 September 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,3,Limit dan kekontinuan fungsi Date 12 September 2025,12 September 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,4,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 26 September 2025,26 September 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,5,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 3 Oktober 2025,3 Oktober 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,6,Masalah yang berkaitan dengan turunan Date 10 Oktober 2025,10 Oktober 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,7,Masalah yang berkaitan dengan turunan Date 17 Oktober 2025,17 Oktober 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,8,Ujian Tengah Semester Date 24 Oktober 2025,24 Oktober 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,9,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 31 Oktober 2025,31 Oktober 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,10,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 7 November 2025,7 November 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,11,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 14 November 2025,14 November 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,12,Aplikasi dari integral Date 21 November 2025,21 November 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,13,Aplikasi dari integral Date 28 November 2025,28 November 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,14,Bilangan Kompleks dan sifatnya Date 5 Desember 2025,5 Desember 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,15,Bilangan Kompleks dan sifatnya Date 12 Desember 2025,12 Desember 2025
https://sindig.unesa.ac.id/course/3/3243/matematika-dasar,Matematika Dasar,2025E,16,Ujian Akhir Semester Date 19 Desember 2025,19 Desember 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025D,1,"Fungsi, daerah asal, daerah hasil, menggambar grafik fungsi. Date 28 Agustus 2025",28 Agustus 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025D,2,Limit dan kekontinuan fungsi Date 4 September 2025,4 September 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025D,3,Limit dan kekontinuan fungsi Date 11 September 2025,11 September 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025D,4,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 25 September 2025,25 September 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025D,5,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 2 Oktober 2025,2 Oktober 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025D,6,Masalah yang berkaitan dengan turunan Date 9 Oktober 2025,9 Oktober 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025D,7,Masalah yang berkaitan dengan turunan Date 16 Oktober 2025,16 Oktober 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025D,8,Ujian Tengah Semester Date 23 Oktober 2025,23 Oktober 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025D,9,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 30 Oktober 2025,30 Oktober 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025D,10,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 6 November 2025,6 November 2025
