dosen,scholar_id,title,authors,journal,year,citations,link
Arif Widodo,RES4QIQAAAAJ,STUDI LITERATUR: PEMANFAATAN GELOMBANG ULTRASONIK SEBAGAI PERANGKAT PENGUSIR TIKUS: STUDI LITERATUR: PEMANFAATAN GELOMBANG ULTRASONIK SEBAGAI PERANGKAT PENGUSIR TIKUS,"F Baskoro, SWS Ningsih, N Kholis, A Widodo","Jurnal teknik elektro 10 (2), 325-331, 2021",2021,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RES4QIQAAAAJ&pagesize=100&citation_for_view=RES4QIQAAAAJ:OU6Ihb5iCvQC
Arif Widodo,RES4QIQAAAAJ,Sistem Monitoring Pasien Isolasi Mandiri Covid-19 Berbasis Internet of Things,"A Widodo, ZB Anwar, N Kholis","Jurnal Teknik Elektro 10 (3), 689-697, 2021",2021,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RES4QIQAAAAJ&pagesize=100&citation_for_view=RES4QIQAAAAJ:dshw04ExmUIC
Rifqi Firmansyah,sHANI1gAAAAJ,Telemetri Flowmeter Menggunakan RF Modul 433MHz,"FSN Rohman, AA Fikri, AN Fuad, R Rohim, R Firmansyah","JEEE-U (Journal of Electrical and Electronic Engineering-UMSIDA) 1 (1), 8-14, 2017",2017,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sHANI1gAAAAJ&pagesize=100&citation_for_view=sHANI1gAAAAJ:qjMakFHDy7sC
Naim Rochmawati,8wFXNjYAAAAJ,Rancang bangun aplikasi monitoring ibadah umat islam untuk siswa sekolah dasar berbasis Android,"C Pratiwi, N Rochmawati","J. Manaj. Inform 8 (1), 96-105, 2018",2018,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:eQOLeE2rZwMC
Dwi Fatrianto Suyatno,OffRzhoAAAAJ,Pengembangan Aplikasi Terpadu Untuk Meningkatkan Layanan Dan Akses Mahasiswa Terhadap Ruang Baca Dengan QR Code,"A Prihanto, D Fatrianto","Jurnal Manajemen Informatika 3 (2), 1-8, 2014",2014,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OffRzhoAAAAJ&pagesize=100&citation_for_view=OffRzhoAAAAJ:qjMakFHDy7sC
Dwi Fatrianto Suyatno,OffRzhoAAAAJ,Rancang Bangun Sistem Informasi Peramalan Penjualan pada Songkok Palapa Gresik dengan menggunakan Metode Time-Series Berbasis Website,"A Khamid, DF Suyatno","Journal of Emerging Information System and Business Intelligence (JEISBI) 2 …, 2021",2021,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OffRzhoAAAAJ&pagesize=100&citation_for_view=OffRzhoAAAAJ:MXK_kJrjxJIC
Anita Qoiriah,N6RJilIAAAAJ,"Pelatihan Media Pembelajaran Menggunakan Canva Untuk Guru MI Al Ahmad, Krian, Sidoarjo","N Rochmawati, Y Yamasari, WI Yustanti, A Qoiriah, AN Aviana","Jurnal ABDI: Media Pengabdian Kepada Masyarakat 9 (1), 46-52, 2023",2023,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:M3NEmzRMIkIC
Rizky Basatha,FZ00CQ8AAAAJ,Perancangan Sistem Informasi Manajemen Tugas Akhir Pada Institut Informatika Indonesia Menggunakan Metode Incremental,"R Sutjiadi, A Wirapraja, EM Trianto, T Rahmawati, R Basatha, B Adiwena, ...","Jurnal Ilmiah Telsinas Elektro, Sipil dan Teknik Informasi 5 (2), 152-164, 2022",2022,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ00CQ8AAAAJ&pagesize=100&citation_for_view=FZ00CQ8AAAAJ:eQOLeE2rZwMC
Anita Qoiriah,N6RJilIAAAAJ,An analysis of Indonesia’s information security index: a case study in a public university,"W Yustanti, A Qoiriah, R Bisma, A Prihanto","IOP conference series: materials science and engineering 296 (1), 012038, 2018",2018,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:Se3iqnhoufwC
Anita Qoiriah,N6RJilIAAAAJ,Sistem Pakar untuk Menentukan Menu Makanan Sehat pada Penderita Diabetes Mellitus,"T Lusiani, A Qoiriah","S@ CIES 5 (1), 9-23, 2014",2014,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:9yKSN-GCB0IC
Muhammad Hakiki,2LbFMrAAAAAJ,Game-D: Development of an educational game using a line follower robot on straight motion material,"F Eliza, M Hakiki, M Muhtaj, DA Putri, Y Hidayah, A Fricticarani, J Fakhri, ...","International Journal of Information and Education Technology 15 (1), 49-58, 2025",2025,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:EUQCXRtRnyEC
Atik Wintarti,lFCI_vsAAAAJ,Blended learning as a learning strategy in the disruptive era,"A Wintarti, R Ekawati, S Fiangga","Journal of Physics: Conference Series 1387 (1), 012127, 2019",2019,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&pagesize=100&citation_for_view=lFCI_vsAAAAJ:3fE2CSJIrl8C
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Use of Naïve Bayes classifier algorithm to detect customers’ interests in buying internet token,"DR Prehanto, AD Indriyanti, KD Nuryana, S Soeryanto, AS Mubarok","Journal of Physics: Conference Series 1402 (6), 066069, 2019",2019,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:roLk4NBRz8UC
Atik Wintarti,lFCI_vsAAAAJ,Media pembelajaran berbasis ICT menggunakan software scratch pada materi peluang di SMPN 18 Banjarmasin,"H Rani, A Wintarti","EDU-MAT: Jurnal Pendidikan Matematika 10 (1), 95-105, 2022",2022,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&pagesize=100&citation_for_view=lFCI_vsAAAAJ:dhFuZR0502QC
Muhammad Hakiki,2LbFMrAAAAAJ,"Integrating Principal Leadership and Teacher Roles with AI-Based ""Merdeka"" Curriculum Innovation: The Quantitative Research","H Halomoan, M Hakiki, MA Ramadhan, Y Hidayah, J Fakhri, ...","TEM Journal 13 (4), 3397, 2024",2024,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:f2IySw72cVMC
Atik Wintarti,lFCI_vsAAAAJ,The instructional design of blended learning on differential calculus using successive approximation model,"A Wintarti, DK Fardah","Journal of Physics: Conference Series 1417 (1), 012064, 2019",2019,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&pagesize=100&citation_for_view=lFCI_vsAAAAJ:kNdYIx-mwKoC
Anita Qoiriah,N6RJilIAAAAJ,Analisis Sentimen Pengguna Platform Belajar Online Coursera menggunakan Random Forest dengan Metode Ekstraksi Fitur Word2vec,"MJ Aufa, A Qoiriah","Journal of Informatics and Computer Science (JINACS), 244-255, 2022",2022,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:RHpTSmoSYBkC
Anita Qoiriah,N6RJilIAAAAJ,Pengelompokan Kategori Buku Berdasarkan Judul Menggunakan Algoritma Agglomerative Hierarchical Clustering Dan K-Medoids,"MA Rofiq, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 2 (03), 220-227, 2021",2021,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:-f6ydRqryjwC
Anita Qoiriah,N6RJilIAAAAJ,Penerapan metode TF-IDF dan deep neural network untuk analisa sentimen pada data ulasan hotel,"FD Adhiatma, A Qoiriah","Journal of Informatics and Computer Science (JINACS), 183-193, 2022",2022,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:TQgYirikUcIC
Arif Widodo,RES4QIQAAAAJ,The emerging wireless body area network on android smartphones: A review,"P Puspitaningayu, A Widodo, E Yundra","IOP Conference Series: Materials Science and Engineering 288 (1), 012116, 2018",2018,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RES4QIQAAAAJ&pagesize=100&citation_for_view=RES4QIQAAAAJ:RYcK_YlVTxYC
Riza Akhsani Setyo Prayoga,34CwHgkAAAAJ,Perencanaan Strategis Sistem Informasi Menggunakan TOGAF Pada SMK Swasta Ponorogo,RAS PRAYOGA,"Jurnal Ilmiah Media Sisfo 16 (2), 71-80, 2022",2022,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=34CwHgkAAAAJ&pagesize=100&citation_for_view=34CwHgkAAAAJ:ufrVoPGSRksC
Nurhayati,AYI1rosAAAAJ,Pengembangan Media Pembelajaran Interaktif Berbasis CAI (Computer–Assisted Instruction) Pada Mata Pelajaran Teknik Elektronika Dasar Kelas X Di Smkn 1 Nganjuk,"H Prasetyo, Nurhayati","Jurnal Pendidikan Teknik Elektro 4 (1), 2015",2015,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AYI1rosAAAAJ&pagesize=100&citation_for_view=AYI1rosAAAAJ:W7OEmFMy1HYC
Elly Matul Imah,tzjThtIAAAAJ,Integrating data selection and extreme learning machine to predict protein-ligand binding site,"U Mahdiyah, EM Imah, MI Irawan","Contemp Eng Sci 9, 791-7, 2016",2016,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tzjThtIAAAAJ&pagesize=100&citation_for_view=tzjThtIAAAAJ:mVmsd5A6BfQC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Pengembangan media pembelajaran berbasis macromedia flash 8 pada mata pelajaran instalasi penerangan listrik,"GA BP, SI Haryudo","J. Pendidik. Tek. Elektro 5 (2), 601-607, 2016",2016,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:ufrVoPGSRksC
Pradini Puspitaningayu,A9L19RMAAAAJ,The Emerging Wireless Body Area Network on Android Smartphones: A Review,"P Puspitaningayu, A Widodo, E Yundra","The 2nd Annual Applied Science and Engineering Conference (AASEC 2017) 288 …, 2018",2018,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A9L19RMAAAAJ&pagesize=100&citation_for_view=A9L19RMAAAAJ:9yKSN-GCB0IC
Hesti Khuzaimah Nurul Yusufiyah,Mr22rjsAAAAJ,Feature extraction for classifying lesion's shape of breast ultrasound images,"HKN Yusufiyah, HA Nugroho, TB Adji, A Nugroho","2015 2nd International Conference on Information Technology, Computer, and …, 2015",2015,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Mr22rjsAAAAJ&pagesize=100&citation_for_view=Mr22rjsAAAAJ:u5HHmVD_uO8C
I Made Suartana,RvG7jG4AAAAJ,Perbandingan Performa Controller OpenDayLight dan Ryu pada Arsitektur Software Defined Network,"AZ Pramudita, IM Suartana","Journal of Informatics and Computer Science (JINACS) 1 (04), 174-178, 2020",2020,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RvG7jG4AAAAJ&pagesize=100&citation_for_view=RvG7jG4AAAAJ:UebtZRa9Y70C
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Evaluasi Kualitas Website Tokopedia Menggunakan Metode Webqual 4.0 dan Importance Performance Analysis (IPA),"RD Shofi, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 3 …, 2022",2022,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:TFP_iSt0sucC
Lilik Anifah,6MXDzBQAAAAJ,"Muhammad, & Haryanto.(2023). Integrated Smart Real Time Scoring Pencak Silat Based on Internet of Things (IOT)","L Anifah, MS Zuhrie","International Journal on Technical and Physical Problems of Engineering 15 …, 0",,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:t6usbXjVLHcC
Ardhini Warih Utami,ZBAnb64AAAAJ,Rancang Bangun Sistem Informasi Manajemen Proyek Berbasis Website Menggunakan Project Management Body Of Knowledge 6 (Studi Kasus PT. Tekno Mandala Kreatif),"AV Suwandana, AW Utami","Journal of Emerging Information System and Business Intelligence (JEISBI) 3 …, 2022",2022,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZBAnb64AAAAJ&pagesize=100&citation_for_view=ZBAnb64AAAAJ:qUcmZB5y_30C
Ardhini Warih Utami,ZBAnb64AAAAJ,Rancang Bangun Sistem Pendukung Keputusan Peminatan Mata Kuliah Menggunakan Metode Weighted Product,F Alifa,"Jurnal Manajemen Informatika 9 (2), 2019",2019,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZBAnb64AAAAJ&pagesize=100&citation_for_view=ZBAnb64AAAAJ:W7OEmFMy1HYC
Aditya Prapanca,WdhKN0sAAAAJ,Klasifikasi gambar asli dan manipulasi menggunakan Error Level Analysis (ELA) sebagai proses komputasi metode Convolutional Neural Network (CNN),"PN Candra, A Prapanca","Journal of Informatics and Computer Science (JINACS) 2 (01), 9-18, 2020",2020,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&citation_for_view=WdhKN0sAAAAJ:z_wVstp3MssC
Ardhini Warih Utami,ZBAnb64AAAAJ,Sistem pakar identifikasi penyakit tanaman bawang merah menggunakan metode teorema bayes,"AW Utami, RS Putra","Jurnal Manajemen Informatika 4 (01), 2015",2015,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZBAnb64AAAAJ&pagesize=100&citation_for_view=ZBAnb64AAAAJ:u5HHmVD_uO8C
Muhammad Hakiki,2LbFMrAAAAAJ,Variable frequency drive trainer kits for electronic control system subjects in vocational secondary schools,"MA Hamid, P Sudira, MB Triyono, MA Rizqillah, D Setiawan, M Hakiki, ...","International Journal of Evaluation and Research in Education 13 (5), 10.11591, 2024",2024,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:zA6iFVUQeVQC
Muhammad Hakiki,2LbFMrAAAAAJ,Efektivitas Modul Digital Berbasis E-Learning Pada Matakuliah Pendidikan Karakter di STKIP Muhammadiyah Muara Bungo,"M Hakiki, A Sabir, A Maryana","Jurnal Muara Pendidikan 7 (2), 269-278, 2022",2022,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:j3f4tGmQtD8C
Rizky Basatha,FZ00CQ8AAAAJ,Pengembangan aplikasi buku tamu berbasis web pada SD XYZ,"R Basatha, DSO Soedargo, T Rahmawati, YE Oktian","Jurnal Pendidikan Dan Teknologi Indonesia 3 (7), 279-288, 2023",2023,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ00CQ8AAAAJ&pagesize=100&citation_for_view=FZ00CQ8AAAAJ:_FxGoFyzp5QC
Rina Harimurti,2DniQ8EAAAAJ,Improving the cluster validity on student's psychomotor domain using feature selection,"Y Yamasari, SMS Nugroho, R Harimurti, MH Purnomo","2018 International Conference on Information and Communications Technology …, 2018",2018,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:3fE2CSJIrl8C
Arif Widodo,RES4QIQAAAAJ,Wireless body area networks dan pengaruhnya dalam perkembangan teknologi m-Health,"P Puspitaningayu, A Widodo, E Yundra","INAJEEE (Indonesian Journal of Electrical and Electronics Engineering) 1 (1 …, 2018",2018,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RES4QIQAAAAJ&pagesize=100&citation_for_view=RES4QIQAAAAJ:J_g5lzvAfSwC
Arif Widodo,RES4QIQAAAAJ,A PVT insensitive field programmable gate array time-to-digital converter,"P Chen, HC Cheng, A Widodo, WX Tsai","2013 IEEE Nordic-Mediterranean Workshop on Time-to-Digital Converters (NoMe …, 2013",2013,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RES4QIQAAAAJ&pagesize=100&citation_for_view=RES4QIQAAAAJ:RGFaLdJalmkC
Riza Akhsani Setyo Prayoga,34CwHgkAAAAJ,Sistem Pendukung Keputusan Pemilihan Perumahan dengan Metode ARAS (Studi Kasus Kabupaten Ponorogo),"P Susanti, RAS Prayoga","Jurnal Sains dan Informatika 8 (1), 31-40, 2022",2022,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=34CwHgkAAAAJ&pagesize=100&citation_for_view=34CwHgkAAAAJ:WF5omc3nYNoC
Naim Rochmawati,8wFXNjYAAAAJ,Perbandingan CNN dan Bi-LSTM pada Analisis Sentimen dan Emosi Masyarakat Indonesia Di Media Sosial Twitter Selama Pandemik Covid-19 yang Menggunakan Metode Word2vec,"MRF Kamarula, N Rochmawati","Journal of Informatics and Computer Science (JINACS), 219-228, 2022",2022,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:R3hNpaxXUhUC
Farhanna Mar'i,LeRoniwAAAAJ,Comparative study of numerical methods in multiple linear regression for stock prediction Jakarta Islamic Index (JII),"F Mar'i, U Pratiwi, I Oktanisa, F Utaminingrum","2019 International Conference on Sustainable Information Engineering and …, 2019",2019,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LeRoniwAAAAJ&pagesize=100&citation_for_view=LeRoniwAAAAJ:u5HHmVD_uO8C
Rina Harimurti,2DniQ8EAAAAJ,"Pengaruh Penerapan Tools Google Classroom pada Model Pembelajaran Project Based Learning terhadap Hasil Belajar Siswa. IT-Edu: Jurnal Information Technology and Education, 2 …","DBP Pradana, R Harimurti",,2017,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:70eg2SAEIzsC
Rina Harimurti,2DniQ8EAAAAJ,Analysis of programming skills concept in developing problem solving skills,"R Harimurti, E Ekohariadi, M Munoto, ET Winanti","Jurnal Pendidikan Teknologi dan Kejuruan 25 (1), 43-51, 2019",2019,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:Se3iqnhoufwC
Bambang Suprianto,j8HRV1wAAAAJ,Tuning of power system stabilizer using cascade forward backpropagation,"W Aribowo, S Muslim, B Suprianto, UT Kartini, IGPA Buditjahjanto","2020 Third International Conference on Vocational Education and Electrical …, 2020",2020,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:J-pR_7NvFogC
Paramitha Nerisafitra,Em3aIV0AAAAJ,Perancangan Sistem Perhitungan Kebutuhan Kalori Sebagai Pendamping Gaya Hidup Sehat,"R Bisma, P Nerisafitra, AW Utami","Journal of Emerging Information System and Business Intelligence (JEISBI) 2 (4), 2021",2021,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Em3aIV0AAAAJ&pagesize=100&citation_for_view=Em3aIV0AAAAJ:ufrVoPGSRksC
Bambang Suprianto,j8HRV1wAAAAJ,Rancang bangun sistem pendeteksi vibrasi pada motor sebagai indikator pengaman terhadap perubahan beban menggunakan sensor accelerometer GY-521 MPU 6050 berbasis Arduino Uno,"A Sulthoni, B Suprianto","Jurnal Teknik Elektro 7 (03), 2018",2018,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:SeFeTyx0c_EC
Bambang Suprianto,j8HRV1wAAAAJ,Sistem Kontrol Mini Lift Barang Menggunakan Fuzzy Logic Controller Sebagai Pengendali Kecepatan Motor DC Berbasis Labview.,"AI Soehartono, B Suprianto","Jurnal Teknik Elektro 9 (1), 2020",2020,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:OU6Ihb5iCvQC
Farhanna Mar'i,LeRoniwAAAAJ,Sistem Rekomendasi Profesi Berdasarkan Dimensi Big Five Personality Menggunakan Fuzzy Inference System Tsukamoto,"F Mar’i, WF Mahmudy, C Yusainy","Jurnal Teknologi Informasi Dan Ilmu Komputer 6 (5), 457, 2019",2019,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LeRoniwAAAAJ&pagesize=100&citation_for_view=LeRoniwAAAAJ:2osOgNQ5qMEC
Fadhilah Qalbi Annisa,AaC4eAwAAAAJ,Personality dimensions classification with EEG analysis using support vector machine,"FQ Annisa, E Supriyanto, S Taheri","2020 3rd International seminar on research of information technology and …, 2020",2020,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AaC4eAwAAAAJ&pagesize=100&citation_for_view=AaC4eAwAAAAJ:u-x6o8ySG0sC
Riskyana Dewi Intan Puspitasari,DiBTIz4AAAAJ,Ensemble learning versus deep learning for Hypoxia detection in CTG signal,"PRD Intan, MA Ma’sum, N Alfiany, W Jatmiko, A Kekalih, A Bustamam","2019 International Workshop on Big Data and Information Security (IWBIS), 57-62, 2019",2019,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DiBTIz4AAAAJ&pagesize=100&citation_for_view=DiBTIz4AAAAJ:d1gkVwhDpl0C
Hafizhuddin Zul Fahmi,w7ApwNAAAAAJ,Noise reduction on the tilt sensor for the humanoid robot balancing system using complementary filter,"R Maulana, W Kurniawan, HZ Fahmi","MATEC Web of Conferences 220, 06002, 2018",2018,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=w7ApwNAAAAAJ&pagesize=100&citation_for_view=w7ApwNAAAAAJ:u5HHmVD_uO8C
Aditya Prapanca,WdhKN0sAAAAJ,MobiAugmented reality: Studio lighting photography simulator ver. 1.0,SC Wibawa,"https://ieeexplore.ieee.org/document/8355059/, 2018",2018,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&citation_for_view=WdhKN0sAAAAJ:dfsIfKJdRG4C
Parama Diptya Widayaka,nbtuM4IAAAAJ,Prototype of water pipe leakage detector using flowmeter sensor based on arduino uno,"PD Widayaka, L Jauhari","BEST: Journal of Applied Electrical, Science, & Technology 2 (1), 34-38, 2020",2020,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nbtuM4IAAAAJ&pagesize=100&citation_for_view=nbtuM4IAAAAJ:u5HHmVD_uO8C
Elly Matul Imah,tzjThtIAAAAJ,Plant leaf recognition using competitive based learning algorithm,"EM Imah, YS Rahayu, A Wintarti","IOP Conference Series: Materials Science and Engineering 288 (1), 012058, 2018",2018,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tzjThtIAAAAJ&pagesize=100&citation_for_view=tzjThtIAAAAJ:4TOpqqG69KYC
Yeni Anistyasari,IJIEntMAAAAJ,Pengembangan Modul Pemrogaman Dasar untuk Meningkatkan Kemampuan Berpikir Komputasi,"AIR Syah, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 5 (01), 2020",2020,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:-f6ydRqryjwC
Moh. Khoridatul Huda,b4_EdJYAAAAJ,Evaluasi Pengaruh Kinerja Mandor Terhadap Kualitas Pekerjaan Pembangunan Gedung Di Kabupaten Malang,"MN Huda, L Mulyadi, EHD Putranto","INFOMANPRO 7 (2), 1-12, 2018",2018,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b4_EdJYAAAAJ&pagesize=100&citation_for_view=b4_EdJYAAAAJ:_kc_bZDykSQC
Atik Wintarti,lFCI_vsAAAAJ,Plant leaf recognition using competitive based learning algorithm,"EM Imah, YS Rahayu, A Wintarti","IOP Conference Series: Materials Science and Engineering 288 (1), 012058, 2018",2018,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&pagesize=100&citation_for_view=lFCI_vsAAAAJ:_FxGoFyzp5QC
Muhammad Hakiki,2LbFMrAAAAAJ,Aligning Principal Leadership and Teacher Roles with the Demographic Bonus Towards Golden Indonesia 2045: The Case Study of a Vocational High School.,"B Badawi, M Hakiki, S Sahroni, A Prihatmojo, Y Hidayah","TEM Journal 13 (3), 2024",2024,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:SeFeTyx0c_EC
Ekohariadi,YADiqesAAAAJ,Analysis of programming skills concept in developing problem solving skills,"R Harimurti, E Ekohariadi, M Munoto, ET Winanti","Jurnal Pendidikan Teknologi dan Kejuruan 25 (1), 43-51, 2019",2019,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YADiqesAAAAJ&pagesize=100&citation_for_view=YADiqesAAAAJ:Zph67rFs4hoC
Dwi Fatrianto Suyatno,OffRzhoAAAAJ,Analisis Kepuasan Pelanggan Terhadap Layanan Aplikasi Klik Indomaret Menggunakan Metode End User Computing Satisfaction (EUCS) dan DeLone and McLean,"GC Hermawan, DF Suyatno","Journal of Emerging Information System and Business Intelligence (JEISBI) 4 …, 2023",2023,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OffRzhoAAAAJ&pagesize=100&citation_for_view=OffRzhoAAAAJ:mB3voiENLucC
Dwi Fatrianto Suyatno,OffRzhoAAAAJ,Prediksi Kinerja Akademik Mahasiswa Menggunakan Machine Learning dengan Sequential Minimal Optimization untuk Pengelola Program Studi,"A Nurhidayat, A Asmunin, DF Suyatno","JIEET (Journal of Information Engineering and Educational Technology) 5 (2 …, 2021",2021,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OffRzhoAAAAJ&pagesize=100&citation_for_view=OffRzhoAAAAJ:ULOm3_A8WrAC
Dwi Fatrianto Suyatno,OffRzhoAAAAJ,Pengujian Usability dan User Experience Aplikasi Threads mengunakan System Usability Scale (SUS) dan User Experience Questionnaire (UEQ),"A Anggraini, DF Suyatno","J. of Emerging Information System and Business Intelligence 5 (03), 278-289, 2024",2024,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OffRzhoAAAAJ&pagesize=100&citation_for_view=OffRzhoAAAAJ:BqipwSGYUEgC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,PENERAPAN ALGORITMA K-MEANS CLUSTERING SEBAGAI STRATEGI PROMOSI PENERIMAAN MAHASISWA BARU PADA UNIVERSITAS HASYIM ASYâ€™ ARI JOMBANG,"I Mahmudi, AD Indriyanti, I Lazulfa","Inovate: Jurnal Ilmiah Inovasi Teknologi Informasi 4 (2), 20-27, 2020",2020,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:UebtZRa9Y70C
Bambang Suprianto,j8HRV1wAAAAJ,Analisis Tegangan Jatuh (Drop Voltage) Pada Unit Boiler Di PPSDM Migas Cepu Menggunakan Etap 12.6. 0,"M Mujiburrahman, J Joko, B Suprianto, UT Kartini","Jurnal Teknik Elektro 10 (3), 757-768, 2021",2021,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:LjlpjdlvIbIC
