dosen,scholar_id,title,authors,journal,year,citations,link
Yeni Anistyasari,IJIEntMAAAAJ,Development of Automated Assessment Tool to Measure Student Creativity in Computer Programming,"RE Putra, E Ekohariadi, IKD Nuryana, Y Anistyasari","Eighth Southeast Asia Design Research (SEA-DR) & the Second Science …, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:fPk4N6BV_jEC
Yeni Anistyasari,IJIEntMAAAAJ,A Random Forest Algorithm for Predicting Computer Programming Skill Associated with Learning Styles,"Y Anistyasari, SC Hidayati, R Harimurti","2023 Sixth International Conference on Vocational Education and Electrical …, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:u9iWguZQMMsC
Arif Widodo,RES4QIQAAAAJ,An Arduino-Simulink Based ECG Waveform Generator,"A Widodo, P Puspitaningayu, L Anifah, R Firmansyah","2018 2nd Borneo International Conference on Applied Mathematics and …, 2018",2018,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RES4QIQAAAAJ&pagesize=100&citation_for_view=RES4QIQAAAAJ:cFHS6HbyZ2cC
Arif Widodo,RES4QIQAAAAJ,A 2-DoF robot arm simulation for kinematics learning,"A Widodo, A Muzakki, F Baskoro","2nd International Conference on Vocational Education and Training (ICOVET …, 2019",2019,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RES4QIQAAAAJ&pagesize=100&citation_for_view=RES4QIQAAAAJ:pqnbT2bcN3wC
Lusia Rakhmawati,nWPONc8AAAAJ,Virtual Laboratory-Based Student Worksheets Development for Computational Thinking Practices,"L Rakhmawati, AI Agung, M Rohman","2022 Fifth International Conference on Vocational Education and Electrical …, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:fPk4N6BV_jEC
Lusia Rakhmawati,nWPONc8AAAAJ,A Block-Based Image Characteristics Robust Watermarking with Optimal Embeddable AC Coefficient.,"L Rakhmawati, HPA Tjahyaningtijas, W Yustanti, W Wiryanto","International Journal of Intelligent Engineering & Systems 16 (4), 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:f2IySw72cVMC
Yeni Anistyasari,IJIEntMAAAAJ,ASF-LLRDA: Locality-regularized Linear Regression Discriminant Analysis with Approximately Symmetrical Face Preprocessing for Face Recognition,"A Widyadhana, SC Hidayati, DA Navastara, Y Anistyasari","2023 Asia Pacific Signal and Information Processing Association Annual …, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:uWQEDVKXjbEC
Yeni Anistyasari,IJIEntMAAAAJ,An artificial intelligence-based tool for student-generated question,"Y Anistyasari, E Ekohariadi, MT Yani, O Wiriawan, SC Hidayati","E3S Web of Conferences 513, 02003, 2024",2024,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:l7t_Zn2s7bgC
Lilik Anifah,6MXDzBQAAAAJ,"Application of K-means algorithm for clustering regions based on sanitation level: A case study in Bangka Regency, Indonesia","RI Trisanti, GPA Buditjahjanto, L Anifah","2023 Sixth International Conference on Vocational Education and Electrical …, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:VOx2b1Wkg3QC
Bambang Suprianto,j8HRV1wAAAAJ,Developing robot transporter learning media to learn microcontroller,"I Buditjahjanto, CA Rizqi, B Suprianto","Jurnal Pendidikan Vokasi 10 (3), 270-281, 2020",2020,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:t6usbXjVLHcC
Bambang Suprianto,j8HRV1wAAAAJ,STUDI LITERATUR: PENGERING JAGUNG DENGAN ELEMEN PEMANAS MENGGUNAKAN SENSOR DHT11 DAN SERSOR KADAR AIR BERBASIS ARDUINO UNO: STUDI LITERATUR: PENGERING JAGUNG DENGAN ELEMEN …,"F Baskoro, N Khasanah, B Suprianto","Jurnal Teknik Elektro 10 (1), 163-171, 2021",2021,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:AXPGKjj_ei8C
Bambang Suprianto,j8HRV1wAAAAJ,Sistem Positioning Pada Four-Wheeled Omnidirectional Mobile Robot Menggunakan Metode Gyrodometry Berbasis PI-Fuzzy Controller,"K Nurariyanto, MS Zuhrie, B Suprianto, PW Rusimamto","Jurnal Teknik Elektro 11 (1), 77-87, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:7T2F9Uy0os0C
Bambang Suprianto,j8HRV1wAAAAJ,Analisis Pengerukan Sampah Pada Sungai Kawasan Jakarta Pusat Dengan Sistem Inferensi Fuzzy Takagi-Sugeno Berbasis Matlab,"AF Salsabella, E Endryansyah, B Suprianto, MS Zuhrie","JURNAL TEKNIK ELEKTRO 11 (2), 288-296, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:VLnqNzywnoUC
Bambang Suprianto,j8HRV1wAAAAJ,Optimal tuning fractional order PID based on marine predator algorithm for DC motor,"W Aribowo, B Suprianto, R Rahmadian, M Widyartono, AL Wardani, ...","International Journal of Power Electronics and Drive Systems (IJPEDS) 14 (2 …, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:vbGhcppDl1QC
Bambang Suprianto,j8HRV1wAAAAJ,The Magic of Communication and Collaboration: Enhancing Sensor and Actuator Competence for Successful Learning,"F Baskoro, B Suprianto, L Anifah, YA Indriani","Journal of Law and Sustainable Development 11 (7), e1403-e1403, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:i2xiXl-TujoC
