scholar_author_id,title,link,citation_id,authors,publication,year,cited_by
lFCI_vsAAAAJ,PENERAPAN PEMBELAJARAN DARING PADA MATA PELAJARAN MATEMATIKA MATERI BARISAN DAN DERET DITINJAU DARI HASIL BELAJAR SISWA,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:e5wmG9Sq2KIC,lFCI_vsAAAAJ:e5wmG9Sq2KIC,"F Aditya Pratama, A Wintarti","Jurnal Ilmiah Pendidikan Matematika 12 (1), 2023",2023,4
lFCI_vsAAAAJ,Comparison of feature extraction for noise-robust gamelan tone signal recognition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:mB3voiENLucC,lFCI_vsAAAAJ:mB3voiENLucC,"RDI Puspitasari, A Wintarti, EM Imah","Procedia Computer Science 216, 698-705, 2023",2023,1
lFCI_vsAAAAJ,Profil Berpikir Kritis Siswa Laki-Laki Maskulin dan Perempuan Feminin dalam Menyelesaikan Masalah Literasi Numerasi pada Asesmen Kompetensi Minimum,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:hFOr9nPyWt4C,lFCI_vsAAAAJ:hFOr9nPyWt4C,"R Rachmawati, D Juniati, A Wintarti","EDUKASIA Jurnal Pendidikan dan Pembelajaran 3 (3), 927-936, 2022",2022,7
lFCI_vsAAAAJ,Python Programming: Deep Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:NMxIlDl6LWMC,lFCI_vsAAAAJ:NMxIlDl6LWMC,"N Rochmawatti, RRHPA Tjahyaningtijas, L Rakhmawati, R Artiono, ...","Mitra Edukasi dan Publikasi, 2022",2022,
lFCI_vsAAAAJ,Python Programming: Machine Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:maZDTaKrznsC,lFCI_vsAAAAJ:maZDTaKrznsC,"R Artiono, UT Kartini, A Wintarti, L Rakhmawati, RRHPA Tjahyaningtijas, ...","Mitra Edukasi dan Publikasi, 2022",2022,
lFCI_vsAAAAJ,Violent Videos Classification Using Wavelet and Support Vector Machine,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:-f6ydRqryjwC,lFCI_vsAAAAJ:-f6ydRqryjwC,"A Wintarti, RDI Puspitasari, EM Imah","2022 International Conference on ICT for Smart Society (ICISS), 01-05, 2022",2022,4
lFCI_vsAAAAJ,Literasi matematis siswa reflektif dan siswa impulsif dalam menyelesaikan masalah kontekstual berorientasi PISA,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:qUcmZB5y_30C,lFCI_vsAAAAJ:qUcmZB5y_30C,"PD Naryaningsih, TYE Siswono, A Wintarti","Jurnal Cendekia: Jurnal Pendidikan Matematika 6 (3), 2685-2697, 2022",2022,9
lFCI_vsAAAAJ,Development of electronic module with augmented reality on pyramid for VIII grade,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:IWHjjKOFINEC,lFCI_vsAAAAJ:IWHjjKOFINEC,"E Nuryana, A Wintarti","MATHEdunesa 11 (3), 894-903, 2022",2022,4
lFCI_vsAAAAJ,"Komparasi metode support vector machine (SVM), K-Nearest Neighbors (KNN), Dan Random Forest (RF) untuk prediksi penyakit gagal jantung",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:ZeXyd9-uunAC,lFCI_vsAAAAJ:ZeXyd9-uunAC,"S Adi, A Wintarti","MATHunesa: Jurnal Ilmiah Matematika 10 (2), 258-268, 2022",2022,22
lFCI_vsAAAAJ,Detecting violent scenes in movies using gated recurrent units and discrete wavelet transform,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:QIV2ME_5wuYC,lFCI_vsAAAAJ:QIV2ME_5wuYC,"EM Imah, IK Laksono, K Karisma, A Wintarti","Register: Jurnal Ilmiah Teknologi Sistem Informasi 8 (2), 94-103, 2022",2022,9
