id_sdm,nama_dosen,judul_kegiatan,tahun_kegiatan,jenis_kegiatan
z362nqLaz9V0FaiBS7rZM7IioSsgEoUKPwh-7xUpg0TeIVgRSz6IkQCOx_x7M-oe1EumIw==,Yuliani Puji Astuti,PENGUATAN KOMPETENSI GURU SD DI KABUPATEN TRENGGALEK DALAM MENUNJANG ASESMEN KOMPETENSI MINIMUM,2022,Pengabdian Masyarakat
z362nqLaz9V0FaiBS7rZM7IioSsgEoUKPwh-7xUpg0TeIVgRSz6IkQCOx_x7M-oe1EumIw==,Yuliani Puji Astuti,Pelatihan Mathematica Berbasis CLoud Untuk Pembelejaran Matematika SMP di MTsN Jombang,2021,Pengabdian Masyarakat
z362nqLaz9V0FaiBS7rZM7IioSsgEoUKPwh-7xUpg0TeIVgRSz6IkQCOx_x7M-oe1EumIw==,Yuliani Puji Astuti,Pelatihan Model Smart Learning untuk menunjang Pembelajaran Daring pada masa Kenormalan Baru Covid-19 bagi Guru-guru di MGMP Matematika SMP Kabupaten Lumajang,2020,Pengabdian Masyarakat
z362nqLaz9V0FaiBS7rZM7IioSsgEoUKPwh-7xUpg0TeIVgRSz6IkQCOx_x7M-oe1EumIw==,Yuliani Puji Astuti,Pelatihan Pemanfaatan Google Apps for Education bagi Guru-guru SMP Calon Peserta Lomba INOBEL di Kabupaten Ponorogo,2019,Pengabdian Masyarakat
z362nqLaz9V0FaiBS7rZM7IioSsgEoUKPwh-7xUpg0TeIVgRSz6IkQCOx_x7M-oe1EumIw==,Yuliani Puji Astuti,  Pelatihan Penggunaan Aplikasi jBatik untuk Mendesain Batik Fraktal di MGMP Seni Budaya Kabupaten Tulungagung,2017,Pengabdian Masyarakat
Mna8NqQd-HIZcP5ms0bUHAjPiok265H7UWQJ1kRlESL3KFff_eAikGQLTY4i1LtP1L6cCg==,Harmon Prayogi,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
Mna8NqQd-HIZcP5ms0bUHAjPiok265H7UWQJ1kRlESL3KFff_eAikGQLTY4i1LtP1L6cCg==,Harmon Prayogi,Pelatihan Informatika untuk Meningkatkan Kompetensi Guru SMA dan SMK di Surabaya,2024,Pengabdian Masyarakat
Mna8NqQd-HIZcP5ms0bUHAjPiok265H7UWQJ1kRlESL3KFff_eAikGQLTY4i1LtP1L6cCg==,Harmon Prayogi,PENGOLAHAN DAN VISUALISASI DATA SEBAGAI PENUNJANG PENINGKATAN PENDIDIKAN MENGGUNAKAN MICROSOFT EXCEL,2024,Pengabdian Masyarakat
ConSbraoe-kPnijvmfWAn6r2L3J3ssmTcQAjeeGF5XYuf8BgBPWw8RAy4YccYlx1IlfVdg==,Ike Fitriyaningsih,Juri Lomba Inovasi Pembelajaran untuk Guru-Guru SD dan SMP,2023,Pengabdian Masyarakat
ConSbraoe-kPnijvmfWAn6r2L3J3ssmTcQAjeeGF5XYuf8BgBPWw8RAy4YccYlx1IlfVdg==,Ike Fitriyaningsih,PELATIHAN METODE ILMIAH DAN ANALISIS STATISTIKA UNTUK SISWA  SMKS ARJUNA,2023,Pengabdian Masyarakat
