id_sdm,nama_dosen,judul_kegiatan,tahun_kegiatan,jenis_kegiatan
NbLLjtLB7Ln_YpAs_4po4CRVO1LXp0DUNeDwaob3Gv7PcRb86FZHopoaoXPR7SLIPF2y7g==,Yuni Rosita Dewi,Sosialisasi Pembuatan Es  Cincau dari Tanaman Cyclea Barbata Miers untuk Menambah Pendapatan dan  Ketahanan Pangan Mahasiswa.,2024,Pengabdian Masyarakat
NbLLjtLB7Ln_YpAs_4po4CRVO1LXp0DUNeDwaob3Gv7PcRb86FZHopoaoXPR7SLIPF2y7g==,Yuni Rosita Dewi,"Sosialisasi Pendidikan Karakter, Pengelolaan Sampah Dan Praktik Membuat Pot Guna Mendukung Program Adiwiyata di SMPN 2 Dlanggu Kabupaten Mojokerto",2024,Pengabdian Masyarakat
NbLLjtLB7Ln_YpAs_4po4CRVO1LXp0DUNeDwaob3Gv7PcRb86FZHopoaoXPR7SLIPF2y7g==,Yuni Rosita Dewi,SOSIALISASI STANDAR OPERASIONAL PROSEDUR (SOP) TATA KELOLA KEPEGAWAIAN DAN ADMINISTRASI UNTUK MENINGKATKAN  KINERJA PEGAWAI,2024,Pengabdian Masyarakat
NbLLjtLB7Ln_YpAs_4po4CRVO1LXp0DUNeDwaob3Gv7PcRb86FZHopoaoXPR7SLIPF2y7g==,Yuni Rosita Dewi,PEMBUATAN PUPUK ORGANIK CAIR SEBAGAI ALTERNATIF PUPUK RAMAH LINGKUNGAN DI PONDOK PESANTREN AL MUHAJIRIN,2023,Pengabdian Masyarakat
NbLLjtLB7Ln_YpAs_4po4CRVO1LXp0DUNeDwaob3Gv7PcRb86FZHopoaoXPR7SLIPF2y7g==,Yuni Rosita Dewi,PENYULUHAN DAN PELATIHAN PEMBUATAN PESTISIDA BIOINSEKTISIDA RAMAH LINGKUNGAN,2023,Pengabdian Masyarakat
NbLLjtLB7Ln_YpAs_4po4CRVO1LXp0DUNeDwaob3Gv7PcRb86FZHopoaoXPR7SLIPF2y7g==,Yuni Rosita Dewi,SOSIALISASI 3R DALAM KEHIDUPAN SEHARI-HARI DI SEKOLAH,2023,Pengabdian Masyarakat
NbLLjtLB7Ln_YpAs_4po4CRVO1LXp0DUNeDwaob3Gv7PcRb86FZHopoaoXPR7SLIPF2y7g==,Yuni Rosita Dewi,PEMBUATAN MEDIA TANAM INOVATIF DARI BAHAN YANG BELUM TERMANFAATKAN,2022,Pengabdian Masyarakat
NbLLjtLB7Ln_YpAs_4po4CRVO1LXp0DUNeDwaob3Gv7PcRb86FZHopoaoXPR7SLIPF2y7g==,Yuni Rosita Dewi,Pendampingan Greenhouse Reborn untuk Balongmojo Lestari,2022,Pengabdian Masyarakat
v_4c32wb5hIIDHOu-H1Q9r4E3E-jU0rQEn0ECvOTdVuqj7pb8oH0UvoR5Px5Ax0ROQO7zg==,Hasanuddin Al-habib,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
v_4c32wb5hIIDHOu-H1Q9r4E3E-jU0rQEn0ECvOTdVuqj7pb8oH0UvoR5Px5Ax0ROQO7zg==,Hasanuddin Al-habib,PENGOLAHAN DAN VISUALISASI DATA SEBAGAI PENUNJANG PENINGKATAN PENDIDIKAN MENGGUNAKAN MICROSOFT EXCEL,2024,Pengabdian Masyarakat
v_4c32wb5hIIDHOu-H1Q9r4E3E-jU0rQEn0ECvOTdVuqj7pb8oH0UvoR5Px5Ax0ROQO7zg==,Hasanuddin Al-habib,PENGENALAN PEMROGRAMAN UNTUK SISWA SMP SEKOLAH INDONESIA CAIRO (SIC),2023,Pengabdian Masyarakat
_W4OJWWYOUiHUaYpihPLVaISoSH-l_YBZuG6unIz9fWXpjCnfufHp1UqvfDBtVnNFIBthg==,Moh. Khoridatul Huda,Arabic and English Course (AEC),2024,Pengabdian Masyarakat
_W4OJWWYOUiHUaYpihPLVaISoSH-l_YBZuG6unIz9fWXpjCnfufHp1UqvfDBtVnNFIBthg==,Moh. Khoridatul Huda,Peningkatan Kualitas Hidup Masyarakat Desa Sukoharjo Melalui Edukasi Kesehatan dan Sanitasi,2024,Pengabdian Masyarakat
_W4OJWWYOUiHUaYpihPLVaISoSH-l_YBZuG6unIz9fWXpjCnfufHp1UqvfDBtVnNFIBthg==,Moh. Khoridatul Huda,Pelatihan Pemanfaatan  Gamifikasi dalam Pembelajaran Bagi  Guru SD di Desa Gombang,2023,Pengabdian Masyarakat
_W4OJWWYOUiHUaYpihPLVaISoSH-l_YBZuG6unIz9fWXpjCnfufHp1UqvfDBtVnNFIBthg==,Moh. Khoridatul Huda,Pengelola Prosiding ISIEP,2023,Pengabdian Masyarakat
_W4OJWWYOUiHUaYpihPLVaISoSH-l_YBZuG6unIz9fWXpjCnfufHp1UqvfDBtVnNFIBthg==,Moh. Khoridatul Huda,Sosialisasi Rancang LKPD dengan Mudah Menggunakan Artificial Intelligence (AI),2023,Pengabdian Masyarakat
_W4OJWWYOUiHUaYpihPLVaISoSH-l_YBZuG6unIz9fWXpjCnfufHp1UqvfDBtVnNFIBthg==,Moh. Khoridatul Huda,Tim Reviewer Jurnal Nasional Cendekia,2023,Pengabdian Masyarakat
4JMXdUpnYm1sYlXHSBuCoXX-8kHmWlwYTwNsdGxdpwPUV47GZKYoq6m4wk6sDm5vssegGQ==,Harmon Prayogi,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
4JMXdUpnYm1sYlXHSBuCoXX-8kHmWlwYTwNsdGxdpwPUV47GZKYoq6m4wk6sDm5vssegGQ==,Harmon Prayogi,Pelatihan Informatika untuk Meningkatkan Kompetensi Guru SMA dan SMK di Surabaya,2024,Pengabdian Masyarakat
4JMXdUpnYm1sYlXHSBuCoXX-8kHmWlwYTwNsdGxdpwPUV47GZKYoq6m4wk6sDm5vssegGQ==,Harmon Prayogi,PENGOLAHAN DAN VISUALISASI DATA SEBAGAI PENUNJANG PENINGKATAN PENDIDIKAN MENGGUNAKAN MICROSOFT EXCEL,2024,Pengabdian Masyarakat
Tdfh-blME-mNLjW0B24k3uDVHJaz8OuZTyeQW6LZd6jiufZnnhwyP8m7HldV8pb3lvITMQ==,Ike Fitriyaningsih,Juri Lomba Inovasi Pembelajaran untuk Guru-Guru SD dan SMP,2023,Pengabdian Masyarakat
Tdfh-blME-mNLjW0B24k3uDVHJaz8OuZTyeQW6LZd6jiufZnnhwyP8m7HldV8pb3lvITMQ==,Ike Fitriyaningsih,PELATIHAN METODE ILMIAH DAN ANALISIS STATISTIKA UNTUK SISWA  SMKS ARJUNA,2023,Pengabdian Masyarakat
Tdfh-blME-mNLjW0B24k3uDVHJaz8OuZTyeQW6LZd6jiufZnnhwyP8m7HldV8pb3lvITMQ==,Ike Fitriyaningsih,Pelatihan Metode Ilmiah dan Analisis Statistika untuk Siswa SMKS Arjuna,2023,Pengabdian Masyarakat
Tdfh-blME-mNLjW0B24k3uDVHJaz8OuZTyeQW6LZd6jiufZnnhwyP8m7HldV8pb3lvITMQ==,Ike Fitriyaningsih,Del Mathematics and Science Competition Tahun 2019,2019,Pengabdian Masyarakat
Tdfh-blME-mNLjW0B24k3uDVHJaz8OuZTyeQW6LZd6jiufZnnhwyP8m7HldV8pb3lvITMQ==,Ike Fitriyaningsih,Pelatihan dan Lomba Statistika Programming untuk Siswa SMA,2019,Pengabdian Masyarakat
Tdfh-blME-mNLjW0B24k3uDVHJaz8OuZTyeQW6LZd6jiufZnnhwyP8m7HldV8pb3lvITMQ==,Ike Fitriyaningsih,Pelatihan Pemanfaatan Teknologi Informasi dan Komunikasi Bagi Perangkat Desa se-Kabupaten Toba Samosir Tahun 2017,2017,Pengabdian Masyarakat
BwFljrhxYaWFKwoRnpYmMV5JuL9-KpXE4UJu00zlZj3W1n4Mx7aJO-LHBdgBhjDwxSeNfw==,Fadhilah Qalbi Annisa,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
BwFljrhxYaWFKwoRnpYmMV5JuL9-KpXE4UJu00zlZj3W1n4Mx7aJO-LHBdgBhjDwxSeNfw==,Fadhilah Qalbi Annisa,Pelatihan Informatika untuk Meningkatkan Kompetensi Guru SMA dan SMK di Surabaya,2024,Pengabdian Masyarakat
BwFljrhxYaWFKwoRnpYmMV5JuL9-KpXE4UJu00zlZj3W1n4Mx7aJO-LHBdgBhjDwxSeNfw==,Fadhilah Qalbi Annisa,PENGOLAHAN DAN VISUALISASI DATA SEBAGAI PENUNJANG PENINGKATAN PENDIDIKAN MENGGUNAKAN MICROSOFT EXCEL,2024,Pengabdian Masyarakat
BwFljrhxYaWFKwoRnpYmMV5JuL9-KpXE4UJu00zlZj3W1n4Mx7aJO-LHBdgBhjDwxSeNfw==,Fadhilah Qalbi Annisa,Program Persiapan Pendidikan Inklusi: Penguatan Pembelajaran Berbasis Keragaman,2024,Pengabdian Masyarakat
BwFljrhxYaWFKwoRnpYmMV5JuL9-KpXE4UJu00zlZj3W1n4Mx7aJO-LHBdgBhjDwxSeNfw==,Fadhilah Qalbi Annisa,PENGENALAN PEMROGRAMAN UNTUK SISWA SMP SEKOLAH INDONESIA CAIRO (SIC),2023,Pengabdian Masyarakat
ONC_ZfBEFBDFmSOzx8wQ7Ov1smqIwFjfAXpzECmPtm4TzH8BV4w9BTLiF5TeTgPe4SlDTg==,Elly Matul Imah,Pelatihan Informatika untuk Meningkatkan Kompetensi Guru SMA dan SMK di Surabaya,2024,Pengabdian Masyarakat
ONC_ZfBEFBDFmSOzx8wQ7Ov1smqIwFjfAXpzECmPtm4TzH8BV4w9BTLiF5TeTgPe4SlDTg==,Elly Matul Imah,PENGENALAN PEMROGRAMAN UNTUK SISWA SMP SEKOLAH INDONESIA CAIRO (SIC),2023,Pengabdian Masyarakat
