title,authors,number of authors,scopus author ids,year,full date,scopus source title,volume,issue,pages,article number,issn,source id,source type,language,snip (publication year),snip percentile (publication year) *,citescore (publication year),citescore percentile (publication year) *,sjr (publication year),sjr percentile (publication year) *,field-weighted view impact,views,citations,field-weighted citation impact,field-citation average,"outputs in top citation percentiles, per percentile","field-weighted outputs in top citation percentiles, per percentile",main patent families,policy citations,reference,abstract_x,doi,publication type,open access,eid,pubmed id,institutions,number of institutions,scopus affiliation ids,scopus affiliation names,scopus author id first author,scopus author id last author,scopus author id corresponding author,scopus author id single author,country/region,number of countries/regions,all science journal classification (asjc) code,all science journal classification (asjc) field name,quacquarelli symonds (qs) subject area code,quacquarelli symonds (qs) subject area field name,quacquarelli symonds (qs) subject code,quacquarelli symonds (qs) subject field name,times higher education (the) code,times higher education (the) field name,anzsrc for (2020) parent code,anzsrc for (2020) parent name,anzsrc for (2020) code,anzsrc for (2020) name,sustainable development goals (2025),topic cluster name,topic cluster number,topic cluster prominence percentile,topic name,topic number,topic prominence percentile,publication link to topic strength,abstract_y,status
Online-based Physics Learning to Provide Four Dimensions of Knowledge to Teacher Training Program Students,"Kustijono, R.| Hakim, S.R.| Wiwin, E.",3.0,57201354327| 57214705909| 57201677005,2020.0,2020-06-05,Journal of Physics: Conference Series,1491,1,-,012063,ISSN-17426588,130053.0,Conference Proceeding,English,0.47,66,0.7,82,0.21,78,1.05,20.0,2.0,1.22,1.64,66.0,22.0,0.0,0.0,"Kustijono, R., Hakim, S.R., Wiwin, E. (2020).Online-based Physics Learning to Provide Four Dimensions of Knowledge to Teacher Training Program Students. Journal of Physics: Conference Series,1491(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85086635139&origin=resultslist,10.1088/1742-6596/1491/1/012063,Conference Paper,Gold,2-s2.0-85086635139,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,57201354327,57201677005,-,-,Indonesia,1.0,3100,General Physics and Astronomy,4,Natural Sciences,439,Physics & Astronomy,37,Physical Sciences,51,Physical Sciences,-,-,SDG 4,Collaborative Edge Computing for Task Offloading,138,89.078,Mathematical Proof Systems and User Interaction,60858,2.094,Definitive,"The purpose of the study is to describe the effectiveness of online-based physics learning to provide four dimensions of knowledge to teacher training program students. This type of research is quasi-experimental with a time-series design. Effectiveness is seen from the four dimensions of student knowledge and response. The manipulation variable is online-based physics learning and mastery of knowledge is the dependent variable. Research subjects were 40 students of the Physics Teacher Training Program at Universitas Negeri Surabaya. Six Physics modules are discussed regularly. Assessment of four dimensions of student knowledge and responses using a Likert scale (1-5). Data analysis uses descriptive statistics. Learning is effective if the average value of mastery of each dimension of knowledge ≥ 3.1 (scale 0-5) in each discussion module with a fixed or upward trend. Student responses are effective if the percentage is obtained by ≥ 61%. The results are: 1) the average score of students' knowledge dimensions (factual, conceptual, procedural, and metacognitive) is ≥ 3.1 2) Student responses are ≥ 61%. The results showed that online-based physics learning is effective can provide four dimensions of knowledge to Teacher Training Program Students and get a positive response.",ok
Impact of Soft Skills Competencies to predict Graduates getting Jobs Using Random Forest Algorithm,"Nudin, S.R.| Warsito, B.| Wibowo, A.",3.0,56766087800| 57188561936| 57205972690,2022.0,2022-01-01,"2022 1st International Conference on Information System and Information Technology, ICISIT 2022",-,-,49-54,-,-,21101109743.0,Conference Proceeding,English,-,-,-,-,-,-,2.83,33.0,2.0,0.47,4.21,59.0,50.0,0.0,0.0,"Nudin, S.R., Warsito, B., Wibowo, A. (2022).Impact of Soft Skills Competencies to predict Graduates getting Jobs Using Random Forest Algorithm. 2022 1st International Conference on Information System and Information Technology, ICISIT 2022,49-54",https://www.scopus.com/record/display.url?eid=2-s2.0-85138707649&origin=resultslist,10.1109/ICISIT54091.2022.9872669,Conference Paper,,2-s2.0-85138707649,-,Universitas Negeri Surabaya| Universitas Diponegoro,2.0,60069385| 60105082,Universitas Diponegoro| Universitas Negeri Surabaya,56766087800,57205972690,-,-,Indonesia,1.0,1705| 1710| 1802,Computer Networks and Communications| Information Systems| Information Systems and Management,2,Engineering & Technology,212,Computer Science & Information Systems,38| 37,Computer Science| Physical Sciences,-,-,-,-,SDG 4| SDG 9,Institutional Change in Public Sector Management Accounting,940,71.027,Transforming Accounting Education for Future Professionals,4427,94.417,Defensible,"Soft skills competencies is a special skill by a person in the field of self-management. This competency is very much needed by higher education in getting a job in the era of industry 4.0 and society 5.0. Analysis of the impact of soft skills competencies is currently not widely carried out, even though the tracer study instrument for higher education already exists. Prediction of graduate readiness to enter the work world is very important for higher education. It is necessary to carry out further analysis in this regard. The focus of this research is to analyze the relationship between soft skills competencies and the absorption of graduates in getting a job before six months using the random forest algorithm. The results of the testing using confusion matrix in the development of this prediction model resulted an accuracy of 64%.",ok
Analyzing the Efficacy of Salvinia molesta Mitchell as Phytoremediation Agent for Lead (Pb),"Rachmadiarti, F.| Trimulyono, G.| Utomo, W.H.",3.0,57195929051| 57194226813| 6507144030,2022.0,2022-06-01,Nature Environment and Pollution Technology,21,2,733-738,-,ISSN-09726268,19700186863.0,Journal,English,0.23,83,0.9,79,0.191,77,1.12,36.0,2.0,0.11,17.76,59.0,75.0,0.0,0.0,"Rachmadiarti, F., Trimulyono, G., Utomo, W.H. (2022).Analyzing the Efficacy of Salvinia molesta Mitchell as Phytoremediation Agent for Lead (Pb). Nature Environment and Pollution Technology,21(2) 733-738",https://www.scopus.com/record/display.url?eid=2-s2.0-85133308667&origin=resultslist,10.46488/NEPT.2022.v21i02.035,Article,Gold,2-s2.0-85133308667,-,Brawijaya University| Universitas Negeri Surabaya,2.0,60105082| 60069392,Universitas Negeri Surabaya| Brawijaya University,57195929051,6507144030,57195929051,-,Indonesia,1.0,2105| 2300| 2310,"Renewable Energy, Sustainability and the Environment| General Environmental Science| Pollution",3| 2,Social Sciences & Management| Engineering & Technology,221| 424,Engineering - Electrical & Electronic| Environmental Sciences,36| 37,Engineering| Physical Sciences,40| 41,Engineering| Environmental Sciences,4104| 4105| 4011,Environmental management| Pollution and contamination| Environmental engineering,SDG 3| SDG 6| SDG 15,Arsenic Contamination in Soil and Water Systems,225,93.787,Phytoremediation of Heavy Metals in Aquatic Systems,6156,94.39,Defensible,"Heavy metals, especially Pb (lead), are generally toxic to living things. Pb can contaminate organisms in the water through the food chain. The purpose of this study is to enhance water quality by using Salvinia molesta to phytoremediate Pb-polluted water. This study aims to evaluate the ability of S. molesta as a Pb phytoremediator. We evaluated total protein, free amino acids produced by the plant, and plant growth (dry biomass). S. molesta was grown in a hydroponic system exposed to Pb at dosages of 0, 5, 10, and 15 ppm for 7 and 14 days. Pb level was analyzed using Atomic Absorption Spectrophotometer and amino acids were analyzed using High-Pressure Liquid Chromatography. Data were statistically analyzed using analysis of variance (ANOVA) followed by Tukey’s test (α < 0.05). Results showed a significant change in Pb content in the roots and leaves of Pb-exposed S. molesta Mitch compared to control. In Pb-exposed plants, total protein and amino acids, especially cysteine, were lowered. S. molesta could be used as a Pb phytoremediator due to its high potential to survive Pb exposure and its ability to absorb Pb.",ok
EFFECTIVE TSUNAMI EARLY WARNING USING THE PRODUCT OF P-WAVE DOMINANT PERIOD AND SOURCE RUPTURE DURATION OF MORE THAN 50 SECONDS,"Madlazim| Prastowo, T.| Fahmi, M.N.| Melianda, E.| Kusuma, S.",5.0,55001810400| 23991081900| 57220108286| 57193748508| 57560831000,2022.0,2022-01-01,Science of Tsunami Hazards,41,1,39-53,-,ISSN-87556839,12100156741.0,Journal,English,0.54,61,1.4,70,0.216,78,1.39,21.0,2.0,0.24,8.39,59.0,65.0,0.0,0.0,"Madlazim, Prastowo, T., Fahmi, M.N. and 2 more (...) (2022).EFFECTIVE TSUNAMI EARLY WARNING USING THE PRODUCT OF P-WAVE DOMINANT PERIOD AND SOURCE RUPTURE DURATION OF MORE THAN 50 SECONDS. Science of Tsunami Hazards,41(1) 39-53",https://www.scopus.com/record/display.url?eid=2-s2.0-85127463716&origin=resultslist,-,Article,,2-s2.0-85127463716,-,Universitas Sebelas Maret| Universitas Negeri Surabaya| Universitas Syiah Kuala,3.0,60105082| 60069406| 60069439,Universitas Negeri Surabaya| Universitas Syiah Kuala| Universitas Sebelas Maret,55001810400,57560831000,55001810400,-,Indonesia,1.0,1907| 1910,Geology| Oceanography,4,Natural Sciences,247| 416| 450,Engineering - Mineral & Mining| Earth & Marine Sciences| Geology,37,Physical Sciences,37,Earth Sciences,3708| 3709| 3706,Oceanography| Physical geography and environmental geoscience| Geophysics,SDG 11,Earthquake Dynamics and Volcanic Processes,413,58.731,Seismic Dynamics and Earthquake Rupture Mechanisms,16770,88.739,Definitive,"In this study, we used a tsunami-faulting model, where the discriminant for tsunami potential is the dominant period T!d of P-waves times the rupture duration of an earthquake T!50ex of more than 50 seconds. The product of T!d T50ex was estimated in real time and validated with Tsunami Event Validity (TEV) from NOAA/WDC database. The T!d T50ex discriminant was calculated using a direct procedure for the vertical component of P-wave seismograms velocity. The data were obtained from 51 earthquakes that occurred during 2011-2020 with magnitudes of 6.5 ! ≤ Mw ≤ 8.6, containing 19 strike-slips fault, 11 normal-fault and 21 reverse-fault earthquakes. The results suggest that earthquakes are said to be potential to generate tsunamis when T!d T50ex ≥ 10 s is satisfied. In summary, T!d T50ex is proved to be an efective tsunami discriminant to detect the presence of a tsunami wave after about 4 minutes an earthquake occurs, implying that this is (can be accessed at http://prediksi-tsunami.unesa.ac.id/www/index.html) a useful parameter for rapid and accurate tsunami early warning.",ok
Rupture imaging for the 30 october tsunamigenic earthquake in the eastern aegean sea,"Madlazim| Fahmi, M.N.| Realita, A.| Sari, D.P.",4.0,55001810400| 57220108286| 57373447500| 57286125000,2021.0,2021-12-01,Science of Tsunami Hazards,40,4,228-237,-,ISSN-87556839,12100156741.0,Journal,English,0.48,65,1.4,64,0.192,78,0.97,18.0,2.0,0.21,9.33,64.0,67.0,0.0,0.0,"Madlazim, Fahmi, M.N., Realita, A. and 1 more (...) (2021).Rupture imaging for the 30 october tsunamigenic earthquake in the eastern aegean sea. Science of Tsunami Hazards,40(4) 228-237",https://www.scopus.com/record/display.url?eid=2-s2.0-85121245341&origin=resultslist,-,Article,,2-s2.0-85121245341,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,55001810400,57286125000,-,-,Indonesia,1.0,1907| 1910,Geology| Oceanography,4,Natural Sciences,247| 450| 416,Engineering - Mineral & Mining| Geology| Earth & Marine Sciences,37,Physical Sciences,37,Earth Sciences,3708| 3706| 3709,Oceanography| Geophysics| Physical geography and environmental geoscience,-,Earthquake Dynamics and Volcanic Processes,413,58.731,Seismic Dynamics and Earthquake Rupture Mechanisms,16770,88.739,Definitive,"On 30 October 2020, an earthquake with a moment magnitude Mw=7.0 occurred in the Aegean Sea close to the coasts of Turkey and of the Greek Island of Samos. The earthquake generated a local tsunami in the area, which had maximum amplitude of 2 meters, and inundation in certain coastal region of up to 155 times the run-up height. The present study provides a measure of the rupture dynamics of this tsunamigenic earthquake and provides the parameters of its rupture velocity, as well as the direction and length of the rupture by using beam forming and Multiple Signal Classification Back Projection (MUSICBP) techniques. In this present study we used 189 AK array stations and 153 European (EU) networks stations. The area of high frequency (HF) radiators extends almost bilaterally for more than 64 km along the rupture dynamics, with almost all ruptures having westward directivity. However, there was also an eastward rupture with high energy and low velocity. The timing of the HF radiators seen by both arrays were plotted against their epicenter distance slope 1 of the blue lines, which indicated rupture speeds of 1.9 km/s (slow), and the slope 2 of the yellow lines indicated very fast rupture speeds of 5 km/s, while the slope 3 of the purple lines indicated average rupture speeds of 3.3 km/s (regular).",ok
Heart detection system using a wireless body area network for hybrid monitoring system based on pulse sensor,"Yundra, E.| Suyanti| Kartini, U.T.",3.0,56613331100| 57212310112| 57192095275,2021.0,2021-06-01,Journal of Engineering Science and Technology,16,3,2763-2775,-,ISSN-18234690,18200156709.0,Journal,English,0.51,63,1.6,53,0.243,60,0.6,15.0,2.0,0.18,10.84,64.0,69.0,0.0,0.0,"Yundra, E., Suyanti, Kartini, U.T. (2021).Heart detection system using a wireless body area network for hybrid monitoring system based on pulse sensor. Journal of Engineering Science and Technology,16(3) 2763-2775",https://www.scopus.com/record/display.url?eid=2-s2.0-85110400565&origin=resultslist,-,Article,,2-s2.0-85110400565,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,56613331100,57192095275,56613331100,-,Indonesia,1.0,2200,General Engineering,2,Engineering & Technology,-,-,36,Engineering,MD,Multidisciplinary,MD,Multidisciplinary,-,IoT Integration for Smart Agriculture and Healthcare,762,91.236,Innovative Monitoring Systems for Patient Health,24833,68.421,Defensible,"A health monitoring system that attached sensor on the human body is part of a wireless body area network (WBAN) which governed by IEEE 802.15.6 standard. Nowadays, most people lack time to perform regular monitoring of their health, including checking the heartbeats. To answer this challenge, an alternative monitoring system capable of observing heartbeats condition in real-time will be useful, particularly if the system could be monitored remotely and accessed by multiple persons. This research proposed a heartbeats detection system (HEBEDES) using a pulse sensor in a wireless body area network (WBAN) on hybrid monitoring system for a real-time. The hybrid monitoring system design used three ways access: using smartphones via Bluetooth, short message service (SMS), and the internet, all could be accessed anytime and anywhere simultaneously. Six subjects with various physical activities were tested. The accuracy of HEBEDES employed in this research was confirmed by both stethoscope and oxy meters measurements, with an error rate <2% and value difference of 0.02%.",ok
Research trend on erbium-doped tellurite glasses based on scopus database,"Jauhariyah, M.N.R.| Anggaryani, M.| Marzuki, A.",3.0,57128452400| 57222188259| 36810005100,2021.0,2021-12-06,E3S Web of Conferences,328,-,-,04018,ISSN-25550403,21100795900.0,Conference Proceeding,English,0.46,67,0.8,75,-,-,0.64,11.0,2.0,0.59,1.71,64.0,43.0,0.0,0.0,"Jauhariyah, M.N.R., Anggaryani, M., Marzuki, A. (2021).Research trend on erbium-doped tellurite glasses based on scopus database. E3S Web of Conferences,328",https://www.scopus.com/record/display.url?eid=2-s2.0-85129621583&origin=resultslist,10.1051/e3sconf/202132804018,Conference Paper,Gold,2-s2.0-85129621583,-,Universitas Sebelas Maret| Universitas Negeri Surabaya,2.0,60105082| 60069439,Universitas Negeri Surabaya| Universitas Sebelas Maret,57128452400,36810005100,57128452400,-,Indonesia,1.0,1900| 2100| 2300,General Earth and Planetary Sciences| General Energy| General Environmental Science,4| 2,Natural Sciences| Engineering & Technology,450| 424| 451| 249| 221| 416,Geology| Environmental Sciences| Geophysics| Engineering - Petroleum| Engineering - Electrical & Electronic| Earth & Marine Sciences,36| 37,Engineering| Physical Sciences,40| 51,Engineering| Physical Sciences,5199| 4005| 4017,Other physical sciences| Civil engineering| Mechanical engineering,-,Optical Properties and Structural Dynamics of Glasses,950,36.952,Optical and Structural Insights into Tellurite Glass,8656,89.837,Defensible,"This paper aims to analyse the research trend of erbium-doped tellurite glasses. To this aim, this paper applied bibliometric analysis. The comprehensive research document on the topic of erbium-doped tellurite glasses in the Scopus database is 695 documents. The result revealed that scientific publication on erbium-doped tellurite glasses has been increasing. China contributed the most documents on erbium-doped tellurite glasses. The visualization of the research trend on erbium-doped tellurite glasses assisted with VOSviewer software and resulted in four primary clusters: (1) the red cluster show the keywords about the synthesized and fabrication, (2) the blue cluster show the keywords about the characterization, (3) the green cluster show the user or the application of the glass with each characteristic of materials, (4) the yellow cluster show the way to analyse energy based on the parameters owned by erbium-doped tellurite glasses. The research findings are the networking of the keywords on the research of erbium doped tellurite glasses in all clusters. It means that this research is comprehend knowledge and need to be more investigate to further research.",ok
Mechanism of increasing preparedness tsunami: Ombak-learning model development,"Madlazim| Haryono, E.",2.0,55001810400| 6508073148,2020.0,2020-01-01,Science of Tsunami Hazards,39,3,156-167,-,ISSN-87556839,12100156741.0,Journal,English,1.06,29,2.4,42,0.237,74,0.65,14.0,2.0,0.21,9.56,66.0,65.0,0.0,0.0,"Madlazim, Haryono, E. (2020).Mechanism of increasing preparedness tsunami: Ombak-learning model development. Science of Tsunami Hazards,39(3) 156-167",https://www.scopus.com/record/display.url?eid=2-s2.0-85092944298&origin=resultslist,-,Article,,2-s2.0-85092944298,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,55001810400,6508073148,55001810400,-,Indonesia,1.0,1907| 1910,Geology| Oceanography,4,Natural Sciences,247| 450| 416,Engineering - Mineral & Mining| Geology| Earth & Marine Sciences,37,Physical Sciences,37,Earth Sciences,3709| 3706| 3708,Physical geography and environmental geoscience| Geophysics| Oceanography,SDG 11,Critical Thinking Skills in Student Learning Outcomes,1339,49.052,Innovative Learning Models for Physics Education,74441,62.176,Very Good,"People who live in tsunami disaster-prone areas need to be prepared to mitigate potential future risks. The present study aims in developing a learning model for tsunami mitigation in Indonesia. The model used for this study adopts an ADDIE approach-an acronym for Analysis, Design, Development, Implementation, and Evaluation. The analysis section of the report evaluates the learning needs of people who live in tsunami-prone locations. The subsequent design section of the report focuses in setting the creation of a new learning model regarding the mitigation of tsunami disaster impact and destruction. The development section addresses the required needs for the development of a tsunami mitigation learning model. The implementation section aims in applying and testing the developed model. Finally, the evaluation section assesses all of the activities of the developed model. The results of the study propose a new Tsunami learning model having four phases, abbreviated as ""OMBAK"".",ok
Moodle mobile development in enjoyable learning in computer system subjects,"Wibawa, S.C.| Sulistiyo, E.| Martiningsih, N.G.A.G.E.| Handoyo, E.| Johan, A.",5.0,57200035291| 57201861048| 57217042482| 57194235236| 57217117823,2020.0,2020-05-18,IOP Conference Series: Materials Science and Engineering,830,3,-,032017,ISSN-17578981,19700200831.0,Conference Proceeding,English,0.5,64,0.7,77,-,-,1.68,30.0,2.0,0.34,2.98,66.0,56.0,0.0,0.0,"Wibawa, S.C., Sulistiyo, E., Martiningsih, N.G.A.G.E. and 2 more (...) (2020).Moodle mobile development in enjoyable learning in computer system subjects. IOP Conference Series: Materials Science and Engineering,830(3) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85086337936&origin=resultslist,10.1088/1757-899X/830/3/032017,Conference Paper,Gold,2-s2.0-85086337936,-,Universitas Negeri Surabaya| Semarang State University,2.0,60105082| 60109937| 60089125,Universitas Negeri Surabaya| Universitas Mahasaraswati Denpasar| Universitas Negeri Semarang,57200035291,57217117823,-,-,Indonesia,1.0,2200| 2500,General Engineering| General Materials Science,2,Engineering & Technology,433,Materials Science,36,Engineering,MD,Multidisciplinary,MD,Multidisciplinary,-,Psychometrics and Rasch Analysis in Education Assessment,1298,20.994,Needle Fixation and Social Media Dynamics,32229,65.782,Defensible,"The mobility of students in the world of education is displaced by social media which is a concern for educators to utilize, create or innovate in the world of Education. This study aims to utilize moodle mobile in the development of learning material as an online learning media that approaches social media platforms. The media application development method uses Waterfall, consisting of (1) requirements, (2) analysis, (3) system design, (4) Coding, (5) Testing system, (6) Acceptance Test. Sample testing on media experts, Acceptance Test uses a response assessment consisting of 5 aspects namely Perceived ease of use (PEOU), Perceived usefulness (PU), Perceived Enjoyment (PE), and Intention to use (INT). From the analysis of the Acceptance Test study for 130 students Perceived ease of use (PEOU) of 92.30%, Perceived usefulness (PU) of 86.34, Perceived Enjoyment (PE) of 88%, and Intention to use (INT) of 87, 10% Then from the two classes using independent T-Test two samples showed that the value of the T-test reached 0.046 where the value was below the significance value of 0.05, indicating that H0 was rejected and accepted H1, and so the result was a difference between learning outcomes using the method conventional and learning using Moodle Mobile.",ok
Fractional Order Proportional Integral Derivative Based on Sea Horse-Optimizer As DC Motor Control,"Aribowo, W.| Rahmadian, R.| Widyartono, M.| Buditjahjanto, G.P.A.| Wardani, A.L.| Haryudo, S.I.",6.0,57216862548| 57201853815| 57201863232| 58806566200| 57976879400| 57202236759,2023.0,2023-01-01,"2023 6th International Conference on Vocational Education and Electrical Engineering: Integrating Scalable Digital Connectivity, Intelligence Systems, and Green Technology for Education and Sustainable Community Development, ICVEE 2023 - Proceeding",-,-,55-59,-,-,21101196081.0,Conference Proceeding,English,-,-,-,-,-,-,2.98,29.0,2.0,0.84,2.37,49.0,34.0,0.0,0.0,"Aribowo, W., Rahmadian, R., Widyartono, M. and 3 more (...) (2023).Fractional Order Proportional Integral Derivative Based on Sea Horse-Optimizer As DC Motor Control. 2023 6th International Conference on Vocational Education and Electrical Engineering: Integrating Scalable Digital Connectivity, Intelligence Systems, and Green Technology for Education and Sustainable Community Development, ICVEE 2023 - Proceeding,55-59",https://www.scopus.com/record/display.url?eid=2-s2.0-85182022764&origin=resultslist,10.1109/ICVEE59738.2023.10348249,Conference Paper,,2-s2.0-85182022764,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,57216862548,57202236759,57216862548,-,Indonesia,1.0,1702| 1705| 1801| 2105| 2208| 3303| 3304,"Artificial Intelligence| Computer Networks and Communications| Decision Sciences (miscellaneous)| Renewable Energy, Sustainability and the Environment| Electrical and Electronic Engineering| Development| Education",2| 3,Engineering & Technology| Social Sciences & Management,249| 213| 212| 315| 221| 318,Engineering - Petroleum| Data Science| Computer Science & Information Systems| Development Studies| Engineering - Electrical & Electronic| Education & Training,36| 38| 40| 41| 37,Engineering| Computer Science| Social Sciences| Education Studies| Physical Sciences,-,-,-,-,-,Optimization Algorithms in Multi-Objective Systems,24,95.356,Optimization Techniques for Voltage Regulator Control,40849,93.666,Definitive,"Due to their widespread application in numerous types of electronic equipment, DC motors are a hot issue. Therefore, a quick and trustworthy control is needed. With the discovery of various new techniques, the development of optimized control approaches is accelerating. An optimization technique called Sea Horse optimizer (SHO) is based on the interactions of sea horses with other living things. In this article, we'll discuss how to enhance fractional order PID (FOPID) control on DC motors using the SHO technique. Because the fractional calculus operators used by the FOPID controller cannot be used directly in numerical calculations, implementing the FOPID controller is equally challenging. The FOPID-SHO approach is the one that this article suggests. The standard PID and Particle Swarm optimization (PSO) are two of the comparison methodologies used in this work to evaluate the performance of the suggested method. The performance of the suggested strategy is also measured in this investigation using a different reference speed. The results of the trial show that the FOPID-SHO approach performs at the highest level. When compared to the conventional method, the FOPID-SHO method overshoots by 0.466%.",ok
Prospective Teachers' Perspectives on Collaborative Problem Solving in Mathematics,"Fatmanissa, N.| Yuli Eko Siswono, T.| Lukito, A.| Ekawati, R.| Masriyah",5.0,57200390705| 57959538100| 7801325896| 57210812993| 57200363692,2023.0,2023-06-01,Mathematics Teaching-Research Journal,15,3,34-49,-,ISSN-25734377,21100933994.0,Journal,English,0.57,58,1.1,62,0.225,72,2.11,27.0,2.0,0.53,3.77,49.0,46.0,0.0,0.0,"Fatmanissa, N., Yuli Eko Siswono, T., Lukito, A. and 2 more (...) (2023).Prospective Teachers' Perspectives on Collaborative Problem Solving in Mathematics. Mathematics Teaching-Research Journal,15(3) 34-49",https://www.scopus.com/record/display.url?eid=2-s2.0-85174804038&origin=resultslist,-,Article,,2-s2.0-85174804038,-,Universitas Negeri Surabaya,1.0,60105082| 60259124,Universitas Negeri Surabaya| Sampoerna University,57200390705,57200363692,-,-,Indonesia,1.0,2600| 3304,General Mathematics| Education,4| 3,Natural Sciences| Social Sciences & Management,318| 431,Education & Training| Mathematics,41| 37,Education Studies| Physical Sciences,49| 39| 51,Mathematical Sciences| Education| Physical Sciences,4999| 5199| 3903,Other mathematical sciences| Other physical sciences| Education systems,-,Collaborative Learning and Self-Regulation in Education,1177,62.917,Collaborative Problem-Solving in Learning Environments,48528,81.196,Definitive,"This study describes prospective teachers' perspectives on collaborative problem-solving (CPS) in mathematics. The study employed a 20-item questionnaire distributed to 47 prospective mathematics teachers in Indonesia. The questionnaire responses were scored, and two participants with the highest and lowest mean score were interviewed. Despite being quite similar in perspectives on perseverance and interest in collaboration, the prospective teacher with the highest mean score showed more openness to problems and the value of teamwork. Further research can be done by investigating how prospective teachers' perspectives relate to their knowledge of CPS or teaching practices. Copyright",ok
Variable on SME Fashion Industry with NFT Blockchain as the Design Protection and Counterfeiting Measurement Using Narrative Analysis,"Safitri, A.| Husin, N.| Fazlurrahman, H.| Dhenabayu, R.| Kautsar, A.| Purwohandoko",6.0,57865772100| 55008449900| 35798303400| 58679642300| 57202283774| 58679381500,2023.0,2023-01-01,"2023 International Conference on Data Science and Its Applications, ICoDSA 2023",-,-,489-494,-,-,21101185295.0,Conference Proceeding,English,-,-,-,-,-,-,4.92,46.0,2.0,0.64,3.14,49.0,41.0,0.0,0.0,"Safitri, A., Husin, N., Fazlurrahman, H. and 3 more (...) (2023).Variable on SME Fashion Industry with NFT Blockchain as the Design Protection and Counterfeiting Measurement Using Narrative Analysis. 2023 International Conference on Data Science and Its Applications, ICoDSA 2023,489-494",https://www.scopus.com/record/display.url?eid=2-s2.0-85175647937&origin=resultslist,10.1109/ICoDSA58501.2023.10277308,Conference Paper,,2-s2.0-85175647937,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,57865772100,58679381500,-,-,Indonesia,1.0,1702| 1706| 1707| 1710| 1802,Artificial Intelligence| Computer Science Applications| Computer Vision and Pattern Recognition| Information Systems| Information Systems and Management,2,Engineering & Technology,213| 212,Data Science| Computer Science & Information Systems,37| 38,Physical Sciences| Computer Science,-,-,-,-,SDG 15,Blockchain Applications in Energy and Security Systems,431,99.281,NFTs and Blockchain in Digital Asset Management,57324,97.878,Definitive,"NFT development, backed by blockchain technology, is still in motion and ongoing though the hype has cooled off along with the advance of the technology. With the advancement of technology, fashion is also one thing that gets affected. Fashion, one of the human necessities, has given many business opportunities, with the SME fashion industry having a big part in it. With their limited budget, sadly, they didn't have many options to handle some of the biggest challenges in the fashion industry, which poached design and counterfeiting. Fortunately, NFT has given some solutions that could help cope with those problems. The NFT with blockchain technology could be used to protect how it works by making a unique signature to the digitized asset it is associated with. Real physical goods could be linked to the digitized version with NFT technology for recognition and protective purpose. It will help prove the digital goods' ownership and the linked physical ones. This paper sought to find out what variables affect the fashion SME industry with the NFT as the design protection and counterfeit measurement by using the qualitative narrative analysis from the data gathered using the conducted storytelling interview. The variable will then be compared with the previous study's findings for further analysis and results.",ok
