Data set,"Publications at Universitas Negeri Surabaya"
Year range,2020 to 2024
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,"All publication types"
Self-citations,-

Data source,Scopus
Date last updated,1 October 2025
Date exported,11 October 2025

"* In cases where the journal metric is not available for the publication year of a document, the ""closest year"" metrics are used. E.g. If the latest CiteScore percentile for a journal is from 2019, a 2020 document from that journal will display the 2019 CiteScore percentile value."

2535 publications

Dates,Some publication dates might be an approximation. Read more in https://service.elsevier.com/app/answers/detail/a_id/35535/supporthub/scival/


"Title","Authors","Number of Authors","Scopus Author Ids","Year","Full date","Scopus Source title","Volume","Issue","Pages","Article number","ISSN","Source ID","Source type","Language","SNIP (publication year)","SNIP percentile (publication year) *","CiteScore (publication year)","CiteScore percentile (publication year) *","SJR (publication year)","SJR percentile (publication year) *","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Field-Citation Average","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Main patent families","Policy citations","Reference","Abstract","DOI","Publication type","Open Access","EID","PubMed ID","Institutions","Number of Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Scopus Author ID First Author","Scopus Author ID Last Author","Scopus Author ID Corresponding Author","Scopus Author ID Single Author","Country/Region","Number of Countries/Regions","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Quacquarelli Symonds (QS) Subject area code","Quacquarelli Symonds (QS) Subject area field name","Quacquarelli Symonds (QS) Subject code","Quacquarelli Symonds (QS) Subject field name","Times Higher Education (THE) code","Times Higher Education (THE) field name","ANZSRC FoR (2020) parent code","ANZSRC FoR (2020) parent name","ANZSRC FoR (2020) code","ANZSRC FoR (2020) name","Sustainable Development Goals (2025)","Topic Cluster name","Topic Cluster number","Topic Cluster Prominence Percentile","Topic name","Topic number","Topic Prominence Percentile","Publication link to Topic strength"
"Strategic competence in solving-problem and productive disposition of high school students based on cognitive styles","Rahman, M.S.| Juniati, D.| Manuharawati","3","57203487528| 57193704830| 56520384900","2022","2022-07-13","AIP Conference Proceedings","2577","-","-","020053","ISSN-0094243X","26916","Conference Proceeding","English","0.25","82","0.7","85","-","-","1","14","2","1.27","1.57","59","23","0","0","Rahman, M.S., Juniati, D., Manuharawati (2022).Strategic competence in solving-problem and productive disposition of high school students based on cognitive styles. AIP Conference Proceedings,2577","https://www.scopus.com/record/display.url?eid=2-s2.0-85134652641&origin=resultslist","10.1063/5.0096029","Conference Paper","","2-s2.0-85134652641","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57203487528","56520384900","57193704830","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","MD","Multidisciplinary","MD","Multidisciplinary","-","Critical Thinking Skills in Student Learning Outcomes","1339","49.052","Enhancing Mathematical Communication Skills in Education","27233","53.64","Definitive"
"THE EFFECT OF SIX-WEEK PLYOMETRIC TRAINING ON ENHANCING SPORTS PERFORMANCE OF ADOLESCENT STUDENTS","Putera, S.H.P.| Setijono, H.| Wiriawan, O.| Muhammad, H.N.| Hariyanto, A.","5","58102308800| 57210841704| 57200374593| 57218567968| 57202818459","2022","2022-01-01","Physical Education Theory and Methodology","22","3","S37-S44","-","ISSN-19937989","21100942842","Journal","English","0.48","65","1.9","50","0.191","77","1.13","24","2","0.26","7.8","59","64","0","0","Putera, S.H.P., Setijono, H., Wiriawan, O. and 2 more (...) (2022).THE EFFECT OF SIX-WEEK PLYOMETRIC TRAINING ON ENHANCING SPORTS PERFORMANCE OF ADOLESCENT STUDENTS. Physical Education Theory and Methodology,22(3) S37-S44","https://www.scopus.com/record/display.url?eid=2-s2.0-85148029801&origin=resultslist","10.17309/tmfv.2022.3s.05","Article","Gold|Green","2-s2.0-85148029801","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","58102308800","57202818459","58102308800","-","Indonesia","1","2739| 3306| 3612","Public Health, Environmental and Occupational Health| Health (social science)| Physical Therapy, Sports Therapy and Rehabilitation","5| 3","Life Sciences & Medicine| Social Sciences & Management","532| 343","Medicine| Sports-related Subjects","34| 40","Medical and Health| Social Sciences","42","Health Sciences","4203| 4207| 4201","Health services and systems| Sports science and exercise| Allied health and rehabilitation science","-","Enhancing Athletic Performance through Muscle and Gait Analysis","57","92.413","Enhancing Athletic Performance through Strength and Power Training","1680","98.692","Definitive"
"Application of pani/metal oxide composite as an active material of liquified petroleum gas sensors","Putri, N.P.| Wibowo, S.R.| Maulida, L.N.| Suaebah, E.| Rohmawati, L.| Ermawati, F.U.| Supardi, Z.A.I.","7","57202051863| 58222930800| 58222176900| 57188817866| 57201676108| 57163979400| 6508147948","2023","2023-06-01","Digest Journal of Nanomaterials and Biostructures","18","2","485-493","-","ISSN-18423582","19200156941","Journal","English","0.38","73","1.5","76","0.203","76","1.78","30","2","0.23","8.71","49","63","0","0","Putri, N.P., Wibowo, S.R., Maulida, L.N. and 4 more (...) (2023).Application of pani/metal oxide composite as an active material of liquified petroleum gas sensors. Digest Journal of Nanomaterials and Biostructures,18(2) 485-493","https://www.scopus.com/record/display.url?eid=2-s2.0-85156218445&origin=resultslist","10.15251/DJNB.2023.182.485","Article","Gold","2-s2.0-85156218445","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57202051863","6508147948","57202051863","-","Indonesia","1","1315| 1606| 2204| 2500| 3104| 3107","Structural Biology| Physical and Theoretical Chemistry| Biomedical Engineering| General Materials Science| Condensed Matter Physics| Atomic and Molecular Physics, and Optics","4| 2| 5","Natural Sciences| Engineering & Technology| Life Sciences & Medicine","439| 249| 409| 433| 507","Physics & Astronomy| Engineering - Petroleum| Chemistry| Materials Science| Biological Sciences","36| 37| 32","Engineering| Physical Sciences| Life Sciences","40| 32| 51","Engineering| Biomedical And Clinical Sciences| Physical Sciences","3214| 5102| 4016","Pharmacology and pharmaceutical sciences| Atomic, molecular and optical physics| Materials engineering","-","Conductive Polymers and Their Multifaceted Applications","963","32.832","Polyaniline Nanocomposites for Enhanced Conductivity Applications","139","96.555","Definitive"
"How to Deal and Negotiate with the Campus Environment? Female Students’ Experiences in Reconstructing Gender Identity","Mustofa| Marijan, K.| Romadhoni, M.| Setiawan, B.","4","57312820300| 56455679300| 58405926600| 57195054152","2023","2023-06-24","Journal of Ethnic and Cultural Studies","10","3","18-34","-","ISSN-21491291","21100890928","Journal","English","0.94","31","4.4","4","0.407","11","3.56","52","2","0.78","2.57","49","36","0","0","Mustofa, Marijan, K., Romadhoni, M. and 1 more (...) (2023).How to Deal and Negotiate with the Campus Environment? Female Students’ Experiences in Reconstructing Gender Identity. Journal of Ethnic and Cultural Studies,10(3) 18-34","https://www.scopus.com/record/display.url?eid=2-s2.0-85163669235&origin=resultslist","10.29333/ejecs/1618","Article","Gold","2-s2.0-85163669235","-","Universitas Airlangga| Nahdlatul Ulama University Surabaya| Universitas Negeri Surabaya| National Dong Hwa University","4","60111825| 60069383| 60011975| 60105082","Universitas Nahdlatul Ulama Surabaya| Universitas Airlangga| National Dong Hwa University| Universitas Negeri Surabaya","57312820300","57195054152","57195054152","-","Indonesia| Taiwan","2","3312| 3316","Sociology and Political Science| Cultural Studies","3","Social Sciences & Management","342| 311","Sociology| Communication & Media Studies","40","Social Sciences","47","Language, Communication And Culture","4702","Cultural studies","SDG 5","Masculinity, Gender Identity, and Health Dynamics","1285","29.758","Gender Dynamics in Education and Identity Formation","6612","78.059","Definitive"
"Penegakan Hukum terhadap PT Rayon Utama Makmur Akibat Limbah Testil yang Merugikan Warga","Sari, W.A.N.","1","58586592700","2022","2022-06-29","Volksgeist: Jurnal Ilmu Hukum dan Konstitusi","5","1","69-79","-","ISSN-2615174X","21101176851","Journal","Indonesian","0.53","62","-","-","-","-","0.94","18","2","0.37","5.45","59","57","0","0","Sari, W.A.N. (2022).Penegakan Hukum terhadap PT Rayon Utama Makmur Akibat Limbah Testil yang Merugikan Warga. Volksgeist: Jurnal Ilmu Hukum dan Konstitusi,5(1) 69-79","https://www.scopus.com/record/display.url?eid=2-s2.0-85171973039&origin=resultslist","10.24090/volksgeist.v5i1.6423","Article","Gold","2-s2.0-85171973039","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","-","-","58586592700","58586592700","Indonesia","1","3301| 3308| 3312| 3320","Social Sciences (miscellaneous)| Law| Sociology and Political Science| Political Science and International Relations","3","Social Sciences & Management","340| 342| 328","Politics & International Studies| Sociology| Law and Legal Studies","40| 42","Social Sciences| Law","-","-","-","-","SDG 3","-","-","-","-","-","-","-"
"PHYSICAL ACTIVITY LEVEL AMONGST UNIVERSITY STUDENTS AND LECTURERS ACROSS MAJORS AND PROGRAMS IN INDONESIA","Hariyanto, A.| Mustar, Y.S.| Sholikhah, A.M.| Rusdiawan, A.| Susanto, I.H.| Purnomo, M.","6","57202818459| 57215587952| 57216868546| 58178878400| 57193796481| 59281322100","2023","2023-01-01","Physical Education Theory and Methodology","23","1","49-57","-","ISSN-19937989","21100942842","Journal","English","0.59","56","2.2","48","0.279","63","1.09","23","2","0.41","4.91","49","52","0","0","Hariyanto, A., Mustar, Y.S., Sholikhah, A.M. and 3 more (...) (2023).PHYSICAL ACTIVITY LEVEL AMONGST UNIVERSITY STUDENTS AND LECTURERS ACROSS MAJORS AND PROGRAMS IN INDONESIA. Physical Education Theory and Methodology,23(1) 49-57","https://www.scopus.com/record/display.url?eid=2-s2.0-85152202111&origin=resultslist","10.17309/tmfv.2023.1.07","Article","Gold|Green","2-s2.0-85152202111","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57202818459","59281322100","57202818459","-","Indonesia","1","2739| 3304| 3306| 3612","Public Health, Environmental and Occupational Health| Education| Health (social science)| Physical Therapy, Sports Therapy and Rehabilitation","3| 5","Social Sciences & Management| Life Sciences & Medicine","532| 343| 318","Medicine| Sports-related Subjects| Education & Training","34| 40| 41","Medical and Health| Social Sciences| Education Studies","42","Health Sciences","4203| 4207| 4201","Health services and systems| Sports science and exercise| Allied health and rehabilitation science","SDG 3","Physical Activity and Health Promotion Strategies","445","78.221","Physical Activity Patterns and Health Promotion Insights","5769","96.088","Definitive"
"Marine Predators Algorithm For Tuning DC Motor","Aribowo, W.| Rahmadian, R.| Widyartono, M.| Hermawan, A.C.| Wardani, A.L.| Suprianto, B.","6","57216862548| 57201853815| 57201863232| 57223403623| 57976879400| 8215287000","2022","2022-01-01","2022 5th International Conference on Vocational Education and Electrical Engineering: The Future of Electrical Engineering, Informatics, and Educational Technology Through the Freedom of Study in the Post-Pandemic Era, ICVEE 2022 - Proceeding","-","-","136-140","-","-","21101121703","Conference Proceeding","English","-","-","-","-","-","-","1.98","22","2","0.52","3.87","59","48","0","0","Aribowo, W., Rahmadian, R., Widyartono, M. and 3 more (...) (2022).Marine Predators Algorithm For Tuning DC Motor. 2022 5th International Conference on Vocational Education and Electrical Engineering: The Future of Electrical Engineering, Informatics, and Educational Technology Through the Freedom of Study in the Post-Pandemic Era, ICVEE 2022 - Proceeding,136-140","https://www.scopus.com/record/display.url?eid=2-s2.0-85142454713&origin=resultslist","10.1109/ICVEE57061.2022.9930361","Conference Paper","","2-s2.0-85142454713","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57216862548","8215287000","-","-","Indonesia","1","1702| 1706| 1802| 2208| 3304","Artificial Intelligence| Computer Science Applications| Information Systems and Management| Electrical and Electronic Engineering| Education","2| 3","Engineering & Technology| Social Sciences & Management","213| 318| 221| 249| 212","Data Science| Education & Training| Engineering - Electrical & Electronic| Engineering - Petroleum| Computer Science & Information Systems","36| 41| 37| 38","Engineering| Education Studies| Physical Sciences| Computer Science","-","-","-","-","-","Optimization Algorithms in Multi-Objective Systems","24","95.356","Optimization Techniques for Voltage Regulator Control","40849","93.666","Very Good"
"THE PRACTICALITY AND EFFECTIVENESS OF CASE STUDY-BASED MODULE ON CHEMICAL THERMODYNAMICS COURSE (IDEAL AND REAL GASES) AS LEARNING TOOL DURING THE COVID-19 PANDEMIC","Asih, F.E.| Poedjiastoeti, S.| Lutfi, A.| Novita, D.| Ismono, I.| Purnamasari, A.P.","6","57222187299| 57195472127| 57211929416| 58059987500| 57809240600| 57200312726","2022","2022-01-01","Journal of Technology and Science Education","12","2","466-483","-","ISSN-20145349","21100450131","Journal","English","1.28","18","4.1","22","0.516","37","0.75","24","2","0.27","7.44","59","63","0","0","Asih, F.E., Poedjiastoeti, S., Lutfi, A. and 3 more (...) (2022).THE PRACTICALITY AND EFFECTIVENESS OF CASE STUDY-BASED MODULE ON CHEMICAL THERMODYNAMICS COURSE (IDEAL AND REAL GASES) AS LEARNING TOOL DURING THE COVID-19 PANDEMIC. Journal of Technology and Science Education,12(2) 466-483","https://www.scopus.com/record/display.url?eid=2-s2.0-85134385184&origin=resultslist","10.3926/jotse.1654","Article","Gold|Green","2-s2.0-85134385184","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57222187299","57200312726","57222187299","-","Indonesia","1","3304","Education","3","Social Sciences & Management","318","Education & Training","41","Education Studies","39| 40| 51","Education| Engineering| Physical Sciences","4010| 3903| 5199","Engineering practice and education| Education systems| Other physical sciences","-","Critical Thinking Skills in Student Learning Outcomes","1339","49.052","Enhancing Higher Order Thinking Skills in Education","16052","80.457","Definitive"
"Contemporary Indonesian Literature and the Psychological Reader-Response Perspective","Ahmadi, A.| Darni| Yulianto, B.| Hariyati, N.R.","4","57201349400| 57218934565| 57206867025| 58570064900","2023","2023-01-01","International Journal of Literary Humanities","22","1","61-79","-","ISSN-23277912","21100244834","Journal","English","0.28","80","0.1","85","0.123","42","5.9","34","2","4.69","0.43","49","4","0","0","Ahmadi, A., Darni, Yulianto, B. and 1 more (...) (2023).Contemporary Indonesian Literature and the Psychological Reader-Response Perspective. International Journal of Literary Humanities,22(1) 61-79","https://www.scopus.com/record/display.url?eid=2-s2.0-85170410968&origin=resultslist","10.18848/2327-7912/CGP/v22i01/61-79","Article","Hybrid gold","2-s2.0-85170410968","-","Universitas Negeri Surabaya","1","60105082| 123046042","Universitas Negeri Surabaya| Akademi Farmasi Surabaya","57201349400","58570064900","57201349400","-","Indonesia","1","1208","Literature and Literary Theory","1","Arts & Humanities","123","English Language & Literature","33","Arts and Humanities","47| 36","Language, Communication And Culture| Creative Arts And Writing","4703| 4705| 3604","Language studies| Literary studies| Performing arts","-","Technology, Society, and Public Engagement Dynamics","941","38.391","Interconnectedness of Knowledge and Spirituality","39618","52.104","Definitive"
"Eat well to the best performance: calorie intake and eating behavior among athlete: a review","Wati, I.D.P.| Kusnanik, N.W.| Wahjuni, E.S.| Samodra, Y.T.J.| Gandasari, M.F.| Sofyan, D.","6","58040445300| 57195430173| 57193788130| 58262291600| 58222654900| 58885728600","2024","2024-03-01","International Journal of Public Health Science","13","1","253-259","-","ISSN-22528806","21101029728","Journal","English","0.21","86","-","-","-","-","3.81","49","2","0.85","2.36","32","33","0","0","Wati, I.D.P., Kusnanik, N.W., Wahjuni, E.S. and 3 more (...) (2024).Eat well to the best performance: calorie intake and eating behavior among athlete: a review. International Journal of Public Health Science,13(1) 253-259","https://www.scopus.com/record/display.url?eid=2-s2.0-85183608475&origin=resultslist","10.11591/ijphs.v13i1.23336","Article","Gold","2-s2.0-85183608475","-","Universitas Negeri Surabaya| Tanjungpura University","2","60105082| 60069429| 60341509","Universitas Negeri Surabaya| Universitas Tanjungpura| Majalengka University","58040445300","58885728600","58040445300","-","Indonesia","1","2701| 2719| 2739| 2916| 3306","Medicine (miscellaneous)| Health Policy| Public Health, Environmental and Occupational Health| Nutrition and Dietetics| Health (social science)","5| 3","Life Sciences & Medicine| Social Sciences & Management","534| 532","Nursing| Medicine","34| 40","Medical and Health| Social Sciences","42| 51","Health Sciences| Physical Sciences","4206| 5199| 4205","Public health| Other physical sciences| Nursing","-","Athlete Health and Muscle Performance Insights","683","60.497","Nutritional Strategies for Athletic Performance Enhancement","16758","91.02","Definitive"
"DEALING WITH SPEAKING ANXIETY: A CASE STUDY OF THE IMPLEMENTATION OF SIDANG AKADEMI AT A SCHOOL IN CENTRAL JAVA","Purba, H.R.P.| Setiawan, S.","2","58569292600| 57212529080","2021","2021-04-01","LLT Journal: Journal on Language and Language Teaching","24","1","70-81","-","ISSN-14107201","21101176722","Journal","English","-","-","-","-","-","-","0.69","13","2","0.4","5","64","54","0","0","Purba, H.R.P., Setiawan, S. (2021).DEALING WITH SPEAKING ANXIETY: A CASE STUDY OF THE IMPLEMENTATION OF SIDANG AKADEMI AT A SCHOOL IN CENTRAL JAVA. LLT Journal: Journal on Language and Language Teaching,24(1) 70-81","https://www.scopus.com/record/display.url?eid=2-s2.0-85170372009&origin=resultslist","10.24071/llt.v24i1.2647","Article","Gold","2-s2.0-85170372009","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","58569292600","57212529080","58569292600","-","Indonesia","1","1203| 3304| 3310","Language and Linguistics| Education| Linguistics and Language","3| 1","Social Sciences & Management| Arts & Humanities","318| 130","Education & Training| Linguistics","33| 41","Arts and Humanities| Education Studies","-","-","-","-","-","Integrating Language Learning and Cultural Competence","283","89.666","Willingness to Communicate in Language Learning","31276","97.139","Definitive"
"In vitro investigation on Pennisetum purpureum leaf extracts grown in Indonesia of phytochemical components, optical characteristics, and antioxidant-antibacterial activities","Budiyanto, M.| Puspitarini, S.| Prasetyo, S.| Subekti, H.| Birhan, Y.S.| Qosyim, A.| Ilhami, F.B.","7","57195515198| 57191260032| 57224904768| 57202548891| 56906998400| 57224618360| 57217535161","2024","2024-01-01","Brazilian Journal of Biology","84","-","-","e280855","ISSN-15196984","13841","Journal","English","0.78","43","3.2","37","0.36","41","3.35","34","2","0.83","2.41","32","33","0","0","Budiyanto, M., Puspitarini, S., Prasetyo, S. and 4 more (...) (2024).In vitro investigation on Pennisetum purpureum leaf extracts grown in Indonesia of phytochemical components, optical characteristics, and antioxidant-antibacterial activities. Brazilian Journal of Biology,84","https://www.scopus.com/record/display.url?eid=2-s2.0-85186316189&origin=resultslist","10.1590/1519-6984.280855","Article","Gold","2-s2.0-85186316189","38422303","Debre Markos University| Universitas Negeri Surabaya","2","60105082| 60109514","Universitas Negeri Surabaya| Debre Markos University","57195515198","57217535161","57217535161","-","Indonesia| Ethiopia","2","1100","General Agricultural and Biological Sciences","5","Life Sciences & Medicine","502","Agriculture & Forestry","32","Life Sciences","31| 30","Biological Sciences| Agricultural, Veterinary And Food Sciences","3103| 3005| 3109","Ecology| Fisheries sciences| Zoology","-","Antioxidant Compounds and Their Medicinal Potential","6","97.711","Antioxidant Potential of Plant Extracts and Compounds","77","98.689","Definitive"
"An Effective Hybrid Convolutional-Modified Extreme Learning Machine in Early Stage Diabetic Retinopathy","Novitasari, D.C.R.| Fatmawati| Hendradi, R.| Farida, Y.| Putra, R.E.| Nariswari, R.| Saputra, R.A.| Setyowati, R.D.N.","8","57201451019| 57194205499| 55613484700| 57190128137| 56038565900| 57211239589| 57208282206| 57217154744","2023","2023-01-01","International Journal of Intelligent Engineering and Systems","16","2","401-413","-","ISSN-2185310X","21100199790","Journal","English","0.53","60","3.2","37","0.313","49","2.7","63","2","0.24","8.32","49","62","0","0","Novitasari, D.C.R., Fatmawati, Hendradi, R. and 5 more (...) (2023).An Effective Hybrid Convolutional-Modified Extreme Learning Machine in Early Stage Diabetic Retinopathy. International Journal of Intelligent Engineering and Systems,16(2) 401-413","https://www.scopus.com/record/display.url?eid=2-s2.0-85150973575&origin=resultslist","10.22266/ijies2023.0430.32","Article","Bronze","2-s2.0-85150973575","-","Universitas Airlangga| Bina Nusantara University| Universitas Negeri Surabaya| UIN Sunan Ampel Surabaya","4","60110822| 60069383| 60105082| 60103610| 129106946","UIN Sunan Ampel Surabaya| Universitas Airlangga| Universitas Negeri Surabaya| Bina Nusantara University| Information System Department","57201451019","57217154744","57201451019| 57194205499","-","Indonesia","1","1700| 2200","General Computer Science| General Engineering","2","Engineering & Technology","212","Computer Science & Information Systems","36| 38","Engineering| Computer Science","46| 40","Information And Computing Sciences| Engineering","-","-","-","Retinal Disease Detection and Treatment","41","88.882","Deep Learning Innovations in Diabetic Retinopathy Detection","3034","99.604","Definitive"
"Effect of wire pitch on capacity of single staggered wire and tube heat exchanger using computational fluid dynamic simulation","Akbar, F.R.| Arsana, I.M.","2","57220341931| 57189690131","2020","2020-08-01","International Journal of Engineering, Transactions B: Applications","33","8","1637-1642","-","ISSN-1728144X","21100780798","Journal","English","0.47","66","1.5","50","0.213","63","0.8","22","2","0.21","9.43","66","65","0","0","Akbar, F.R., Arsana, I.M. (2020).Effect of wire pitch on capacity of single staggered wire and tube heat exchanger using computational fluid dynamic simulation. International Journal of Engineering, Transactions B: Applications,33(8) 1637-1642","https://www.scopus.com/record/display.url?eid=2-s2.0-85091934451&origin=resultslist","10.5829/ije.2020.33.08b.22","Article","","2-s2.0-85091934451","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57220341931","57189690131","57189690131","-","Indonesia","1","2200","General Engineering","2","Engineering & Technology","-","-","36","Engineering","40","Engineering","4005| 4016| 4004","Civil engineering| Materials engineering| Chemical engineering","-","Energy Systems and Refrigeration","367","93.133","Energy Efficiency and Temperature Management in Refrigerators","37509","79.841","Definitive"
"Industrial Monitoring and Controlling System on Pressure Machines Using Internet of Thing (IoT)","Anifah, L.| Rahmadian, M.R.| Firmansyah, R.| Zuhrie, M.S.","4","55648855000| 57201853815| 57201854963| 57201353073","2020","2020-07-23","Journal of Physics: Conference Series","1569","3","-","032100","ISSN-17426588","130053","Conference Proceeding","English","0.47","66","0.7","82","0.21","78","1.3","23","2","1.22","1.64","66","22","0","0","Anifah, L., Rahmadian, M.R., Firmansyah, R. and 1 more (...) (2020).Industrial Monitoring and Controlling System on Pressure Machines Using Internet of Thing (IoT). Journal of Physics: Conference Series,1569(3) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85089099828&origin=resultslist","10.1088/1742-6596/1569/3/032100","Conference Paper","Gold","2-s2.0-85089099828","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","55648855000","57201353073","-","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","51","Physical Sciences","-","-","SDG 9","IoT Integration for Smart Agriculture and Healthcare","762","91.236","Security and Applications of Internet of Things","543","99.375","Definitive"
"The Implementation of Multiple Media in Improving Reading Comprehension Skill in the University Students","Aprianto, E.| Fheriyawati, D.","2","57216160724| 57202580771","2020","2020-03-18","Journal of Physics: Conference Series","1464","1","-","12014","ISSN-17426588","130053","Conference Proceeding","English","0.47","66","0.7","82","0.21","78","2.41","45","2","0.61","1.64","66","41","0","0","Aprianto, E., Fheriyawati, D. (2020).The Implementation of Multiple Media in Improving Reading Comprehension Skill in the University Students. Journal of Physics: Conference Series,1464(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85082727064&origin=resultslist","10.1088/1742-6596/1464/1/012014","Conference Paper","Gold","2-s2.0-85082727064","-","Universitas Islam Malang| Universitas Negeri Surabaya","2","60105082| 124173533| 60104921","Universitas Negeri Surabaya| College of Informatics and Computer Indonesia (STIKI)| Universitas Islam Malang","57216160724","57202580771","57216160724","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","51","Physical Sciences","-","-","SDG 4","Integrating Language Learning and Cultural Competence","283","89.666","Task-Based Approaches in Second Language Acquisition","624","95.621","Definitive"
"Adaptation of the wiruncana murca play in the wayang topeng jatiduwur (Jatiduwur mask puppet) jombang performance","Yanuartuti, S.| Juwariyah, A.| Puspito, P.| Winarko, J.","4","57221970314| 57221963162| 57221953916| 57221955116","2020","2020-01-01","Harmonia: Journal of Arts Research and Education","20","1","58-72","-","ISSN-14115115","21101037302","Journal","English","0","93","0.1","73","-","-","1.38","28","2","0.46","2.17","66","49","0","0","Yanuartuti, S., Juwariyah, A., Puspito, P. and 1 more (...) (2020).Adaptation of the wiruncana murca play in the wayang topeng jatiduwur (Jatiduwur mask puppet) jombang performance. Harmonia: Journal of Arts Research and Education,20(1) 58-72","https://www.scopus.com/record/display.url?eid=2-s2.0-85100775535&origin=resultslist","10.15294/harmonia.v20i1.24807","Article","Gold","2-s2.0-85100775535","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57221970314","57221955116","57221970314","-","Indonesia","1","1210| 1213| 3304","Music| Visual Arts and Performing Arts| Education","3| 1","Social Sciences & Management| Arts & Humanities","136| 318","Performing Arts| Education & Training","41| 33","Education Studies| Arts and Humanities","51| 36","Physical Sciences| Creative Arts And Writing","5199| 3603| 3604","Other physical sciences| Music| Performing arts","-","Qualitative Insights into Health and Education Dynamics","462","73.381","Social Media Influence on Community Wellbeing","43213","60.399","Definitive"
"Predicting Winner of Football Match Using Analytical Hierarchy Process: An Analysis Based on Previous Matches Data","Syaifudin, Y.W.| Puspitaningayu, P.","2","57194068863| 56516857300","2021","2021-01-01","2021 International Conference on Data Analytics for Business and Industry, ICDABI 2021","-","-","47-52","-","-","21101075989","Conference Proceeding","English","-","-","-","-","-","-","1.22","19","2","0.45","4.44","64","51","0","0","Syaifudin, Y.W., Puspitaningayu, P. (2021).Predicting Winner of Football Match Using Analytical Hierarchy Process: An Analysis Based on Previous Matches Data. 2021 International Conference on Data Analytics for Business and Industry, ICDABI 2021,47-52","https://www.scopus.com/record/display.url?eid=2-s2.0-85124653470&origin=resultslist","10.1109/ICDABI53623.2021.9655836","Conference Paper","","2-s2.0-85124653470","-","State Polytechnic of Malang| Universitas Negeri Surabaya","2","60104628| 60105082","State Polytechnic of Malang| Universitas Negeri Surabaya","57194068863","56516857300","-","-","Indonesia","1","1401| 1702| 1705| 1710| 1802| 2213| 2718","Business, Management and Accounting (miscellaneous)| Artificial Intelligence| Computer Networks and Communications| Information Systems| Information Systems and Management| Safety, Risk, Reliability and Quality| Health Informatics","3| 5| 2","Social Sciences & Management| Life Sciences & Medicine| Engineering & Technology","249| 532| 212| 308| 213","Engineering - Petroleum| Medicine| Computer Science & Information Systems| Business & Management Studies| Data Science","35| 37| 34| 38| 36","Business and Economics| Physical Sciences| Medical and Health| Computer Science| Engineering","-","-","-","-","-","Formative Assessment and Student Learning Dynamics","1188","70.504","Predictive Models in Football Match Outcomes","20904","92.039","Defensible"
