ID,Name,Department
5978324,KUNJUNG ASHADI,Kepelatihan Olahraga (D4)
6009289,SUKMA PERDANA PRASETYA,Pendidikan IPS (S2)
6951747,MUHAMAD ICHSAN SABILLAH,Pendidikan Kepelatihan Olahraga (Kampus Kabupaten  (S1)
6052537,YETTY SEPTIANI MUSTAR,Ilmu Keolahragaan (S1)
6010575,DARNI,Pendidikan Bahasa  dan Sastra (S2)
6010794,MUHAMMAD,Pendidikan Kepelatihan Olahraga (S1)
5998512,NADIA ASANDIMITRA HARYONO,Manajemen (S3)
5974269,SUROTO,Pendidikan Jasmani (S3)
74642,ENDANG SUSANTINI,Pendidikan Biologi (S2)
6785861,RIZA AKHSANI SETYO PRAYOGA,Pendidikan Teknologi Informasi (S1)
6010562,SAPTO WIBOWO,Pendidikan Olahraga (S2)
6011058,RUDIANTO ARTIONO,Matematika (S1)
6008438,JUNAIDI BUDI PRIHANTO,"Pendidikan Jasmani, Kesehatan, dan Rekreasi (S1)"
6191990,M. BAMBANG EDI SISWANTO,Pendidikan Guru Sekolah Dasar (S1)
6010381,SULIYANAH,Pendidikan Fisika (S1)
258955,NOVI MARLENA,Pendidikan Bisnis (S1)
5999493,FARID BASKORO,Teknik Elektro (S1)
6009739,NASUTION,Ilmu Hukum (S1)
6009091,HAFID KHOLIDI HADI,Bisnis Digital (S1)
6182099,RENNY SARI DEWI,Bisnis Digital (S1)
6010950,ENNY SUSIYAWATI,Pendidikan Ilmu Pengetahuan Alam (S1)
5999078,ADITYA PRAPANCA,Teknik Informatika (S1)
6009469,ARASY FAHRULLAH,Ekonomi Islam (S1)
6757701,MUHAMMAD NURUL ASHAR,Pendidikan Luar Biasa (S1)
6851604,YAN PUTRA TIMUR,Ekonomi Islam (S1)
73994,ARIE WARDHONO,Teknik Sipil (S1)
5989442,SUYATNO,Kimia (S1)
5998961,HERU SUBRATA,Pendidikan Dasar (S2)
6009072,RACHMA HASIBUAN,Pendidikan Anak Usia Dini (S2)
6692454,DAENG RAHMATULLAH,Teknik Listrik (D4)
5993256,BAMBANG SIGIT WIDODO,Pendidikan Geografi (S2)
6818286,NISA DWI SEPTIYANTI,Pendidikan Teknologi Informasi (S1)
74471,RIZA YONISA KURNIAWAN,Pendidikan Ekonomi (S1)
5998975,SRI JOEDA ANDAJANI,Unknown
5977430,NURUL JADID MUBAROKATI,Biologi (S1)
6009614,AGUNG LISTIADI,Pendidikan Ekonomi (S2)
6716469,ABDUL AZIZ HAKIM,Ilmu Keolahragaan (S2)
5987807,SUMARNI,Pendidikan Matematika (Kampus Kabupaten Magetan) (S1)
5988579,AHMAD BASHRI,Pendidikan Biologi (S1)
6795016,RISKYANA DEWI INTAN PUSPITASARI,Kecerdasan Artifisial (S1)
5997145,ARI METALIN IKA PUSPITA,Pendidikan Dasar (S2)
6012786,SUYATNO,Pendidikan Bahasa Indonesia (S2)
6897764,BAKHRUDIN ALL HABSY,Bimbingan Konseling (S3)
6734405,NURUL ISTIQ'FAROH,Pendidikan Dasar (S2)
6008502,RIVO NUGROHO,Pendidikan Luar Sekolah (S1)
74096,PRATIWI RETNANINGDYAH,Sastra Inggris (S1)
6010747,ADVENDI KRISTIYANDARU,"Pendidikan Jasmani, Kesehatan, dan Rekreasi (S1)"
5994580,WAHYU DWI KURNIAWAN,Pendidikan Teknik Mesin (S1)
6009329,HARMANTO,Pendidikan Profesi Guru (Profesi)
6010513,AGUS HARIYANTO,Ilmu Keolahragaan (S3)
259007,KISYANI LAKSONO,Pendidikan Bahasa dan Sastra (S3)
5991531,NAIM ROCHMAWATI,Teknik Informatika (S1)
6009260,KARTIKA RINAKIT ADHE,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
5988839,BAMBANG YULIANTO,Pendidikan Bahasa dan Sastra (S3)
5995951,MASRIYAH,Pendidikan Matematika (S3)
6013427,YUNUS,Pendidikan Teknik Mesin (S1)
6011489,OIKUREMA PURWATI,Unknown
74167,YENI ANISTYASARI,Pendidikan Teknologi Informasi (S1)
5988490,EKA HENDI ANDRIANSYAH,Pendidikan Ekonomi (S1)
5990529,FRIDA ULFAH ERMAWATI,Fisika (S1)
5995266,SIFAK INDANA,Pendidikan Biologi (S2)
6766654,AS'AD SHIDQY AZIZ,Teknik Listrik (D4)
6792148,KUKUH ARISETYAWAN,Ekonomi (S1)
6010255,DIANA RAHMASARI,Psikologi (S2)
5996508,Maria Monica Sianita Basukiwardojo,Kimia (S1)
6190664,EMMILIA RUSDIANA,Ilmu Hukum (S1)
5990628,PRIYO HERU ADIWIBOWO,Teknik Mesin (S1)
6010583,PUPUT WANARTI RUSIMAMTO,Pendidikan Teknik Elektro (S2)
6009054,RICKY EKA PUTRA,Teknik Informatika (S1)
5988853,I GUSTI MADE SANJAYA,Pendidikan Sains (S3)
5993579,WORO SETYARSIH,Pendidikan Fisika (S1)
6010472,AGUNG LUKITO,Pendidikan Matematika (S2)
6826234,FARIJ IBADIL MAULA,Pendidikan Administrasi Perkantoran (S1)
6776582,FITRIARI IZZATUNNISA MUHAIMIN,Biologi (S1)
5988850,TARZAN PURNOMO,Biologi (S1)
6009100,ENDANG PUDJIASTUTI SARTINAH,Pendidikan Luar Biasa (S2)
6009850,ENDANG SRI WAHJUNI,Kedokteran (S1)
6008708,ANUNG PRIAMBODO,Pendidikan Jasmani (S3)
6010516,DIAN SAVITRI,Matematika (S1)
6008446,MULYONO,Sastra Indonesia (S1)
5995547,WARJU,Teknologi Rekayasa Otomotif (D4)
5995948,ATIK WINTARTI,Sains Data (S1)
6774103,MUHAMMAD NURUL FAHMI,Fisika (S1)
5994824,WAHYU SUKARTININGSIH,Pendidikan Dasar (S2)
6715779,ROMADHIYANA KISNO SAPUTRI,Fisioterapi (S1)
6795021,DANANG ARIYANTO,Sains Aktuaria (S1)
5992259,ZAINUL ARIFIN IMAM SUPARDI,Fisika (S2)
6816104,NOOR ROHMAH MAYASARI,Gizi (S1)
6009113,SJAFIATUL MARDLIYAH,Pendidikan Luar Sekolah (S2)
6010251,SHOFAN FIANGGA,Pendidikan Matematika (S1)
6706124,PUTRI ULFA KAMALIA,Pendidikan Ekonomi (S1)
6795014,YURIZKA MELIA SARI,Pendidikan Matematika (S1)
6754130,SRI WICAHYANI,"Pendidikan Jasmani, Kesehatan, dan Rekreasi (Kampu (S1)"
